granule_ID,orbitProp,pathNr,frameNr,date,startTime,measurement_date,measurement_id,measurement_cornerTriangle,measurement_depth,measurement_temperature,nr_of_measurements,polygon
S1A_IW_SLC__1SDV_20230326T053811_20230326T053838_047811_05BE83_3E60,DESCENDING,139,371,2023-03-26,2023-03-26T05:38:11.000Z,2023-03-26,"[429, 453, 476]","['AC-28A', 'AC-28B', 'AC-28C']","['130', '20', '45']","[-8.0, -8.0, -8.0]",3,"[[15.808266, 65.282188], [16.830559, 66.867043], [10.90213, 67.362747], [10.239535, 65.759735], [15.808266, 65.282188]]"
S1A_IW_SLC__1SDV_20230325T161511_20230325T161538_047803_05BE49_44F8,ASCENDING,131,214,2023-03-25,2023-03-25T16:15:11.000Z,2023-03-25,"[432, 433, 437, 439, 456, 457, 461, 463, 479, 480, 484, 486]","['AC-34A', 'AC-30A', 'AC-29A', 'AC-26A', 'AC-34B', 'AC-30B', 'AC-29B', 'AC-26B', 'AC-34C', 'AC-30C', 'AC-29C', 'AC-26C']","['80', '45', '85', '90', '70', '85', '75', '40', '60', '60', '145', '45']","[-12.0, -10.0, -8.0, -10.0, -12.0, -10.0, -8.0, -10.0, -12.0, -10.0, -8.0, -10.0]",12,"[[15.507908, 66.646759], [16.515942, 65.06134], [22.049414, 65.537613], [21.39535, 67.140778], [15.507908, 66.646759]]"
S1A_IW_SLC__1SDV_20230311T163132_20230311T163159_047599_05B766_9C49,ASCENDING,102,213,2023-03-11,2023-03-11T16:31:32.000Z,2023-03-11,"[434, 435, 438, 458, 459, 462, 481, 482, 485]","['AC-33A', 'AC-32A', 'AC-27A', 'AC-33B', 'AC-32B', 'AC-27B', 'AC-33C', 'AC-32C', 'AC-27C']","['80', '120', '140', '25', '110', '40', '40', '260', '230']","[-20.0, -10.0, -10.0, -20.0, -10.0, -10.0, -20.0, -10.0, -10.0]",9,"[[11.646237, 66.310822], [12.630909, 64.72422], [18.075993, 65.194839], [17.434532, 66.798393], [11.646237, 66.310822]]"
S1A_IW_SLC__1SDV_20230306T162321_20230306T162348_047526_05B4F9_F2AC,ASCENDING,29,213,2023-03-06,2023-03-06T16:23:21.000Z,2023-03-06,"[445, 446, 450, 469, 470, 474, 492, 493, 497]","['AC-37A', 'AC-38A', 'AC-42A', 'AC-37B', 'AC-38B', 'AC-42B', 'AC-37C', 'AC-38C', 'AC-42C']","['80', '55', '45', '45', '70', '65', '25', '85', '50']","[-15.0, -5.0, -20.0, -15.0, -5.0, -20.0, -15.0, -5.0, -20.0]",9,"[[13.617757, 66.429398], [14.610379, 64.843185], [20.083714, 65.315491], [19.437891, 66.918915], [13.617757, 66.429398]]"
S1A_IW_SLC__1SDV_20220316T163126_20220316T163153_042349_050C83_200D,ASCENDING,102,213,2022-03-16,2022-03-16T16:31:26.000Z,2022-03-16,"[139, 140, 283, 284, 426, 427]","['AC-22A', 'AC-42A', 'AC-22B', 'AC-42B', 'AC-22C', 'AC-42C']","['195', '60', '190', '100', '240', '125']","[-2.0, nan, -2.0, nan, -2.0, nan]",6,"[[11.649614, 66.310425], [12.634095, 64.723801], [18.078859, 65.194305], [17.437569, 66.797874], [11.649614, 66.310425]]"
S1A_IW_SLC__1SDV_20220314T053007_20220314T053035_042313_050B38_3653,DESCENDING,66,374,2022-03-14,2022-03-14T05:30:07.000Z,2022-03-14,[134],['AC-29A'],['180'],[-8.4],1,"[[17.26404, 64.296463], [18.258965, 65.941078], [12.550977, 66.424774], [11.900536, 64.763374], [17.26404, 64.296463]]"
S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,DESCENDING,66,369,2022-03-14,2022-03-14T05:29:43.000Z,2022-03-14,"[130, 131, 132, 133, 134, 274, 275, 276, 277, 278, 417, 418, 419, 420, 421]","['AC-21A', 'AC-24A', 'AC-25A', 'AC-26A', 'AC-29A', 'AC-21B', 'AC-24B', 'AC-25B', 'AC-26B', 'AC-29B', 'AC-21C', 'AC-24C', 'AC-25C', 'AC-26C', 'AC-29C']","['155', '130', '100', '135', '180', '145', '85', '145', '70', '130', '165', '195', '190', '70', '50']","[-1.0, -2.0, -2.0, -6.0, -8.4, -1.0, -2.0, -2.0, -6.0, -8.4, -1.0, -2.0, -2.0, -6.0, -8.4]",15,"[[18.189089, 65.81337], [19.247929, 67.396713], [13.187674, 67.899002], [12.504882, 66.296364], [18.189089, 65.81337]]"
S1A_IW_SLC__1SDV_20220309T052155_20220309T052223_042240_0508CF_95FB,DESCENDING,168,374,2022-03-09,2022-03-09T05:21:55.000Z,2022-03-09,"[123, 267, 410]","['AC-39A', 'AC-39B', 'AC-39C']","['70', '135', '40']","[-7.0, -7.0, -7.0]",3,"[[19.277937, 64.239166], [20.268726, 65.884132], [14.578793, 66.366432], [13.930623, 64.704834], [19.277937, 64.239166]]"
S1A_IW_SLC__1SDV_20220304T163126_20220304T163153_042174_05068B_A8BE,ASCENDING,102,213,2022-03-04,2022-03-04T16:31:26.000Z,2022-03-04,"[122, 266, 409]","['AC-31A', 'AC-31B', 'AC-31C']","['180', '110', '70']","[-11.5, -11.5, -11.5]",3,"[[11.647776, 66.310555], [12.632422, 64.723824], [18.077499, 65.194397], [17.436092, 66.798073], [11.647776, 66.310555]]"
S1A_IW_SLC__1SDV_20210503T162311_20210503T162338_037726_0473C7_E72E,ASCENDING,29,213,2021-05-03,2021-05-03T16:23:11.000Z,2021-05-03,"[100, 101, 243, 244, 387, 388]","['AC-32A', 'AC-27A', 'AC-32B', 'AC-27B', 'AC-32C', 'AC-27C']","['145', '160', '130', '75', '240+', '240']","[-8.0, -8.0, -8.0, -8.0, -8.0, -8.0]",6,"[[13.619402, 66.428291], [14.612055, 64.841942], [20.084566, 65.314209], [19.438667, 66.917778], [13.619402, 66.428291]]"
