granule_ID,orbitProp,pathNr,frameNr,granule_date,startTime,measurement_date,measurement_id,measurement_cornerTriangle,measurement_depth,measurement_temperature,nr_of_measurements,polygon,era5_date
S1A_IW_SLC__1SDV_20230328T052201_20230328T052229_047840_05BF83_BE4B,DESCENDING,168,374,2023-03-28,2023-03-28T05:22:01.000Z,2023-03-27,"[455, 454, 478, 477, 431, 430]","['AC-24B', 'AC-25B', 'AC-24C', 'AC-25C', 'AC-24A', 'AC-25A']","['55', '85', '70', '130', '80', '90']","[-10.0, -8.0, -10.0, -8.0, -10.0, -8.0]",6,"[[19.27564, 64.238388], [20.266495, 65.883743], [14.577166, 66.365921], [13.928967, 64.703941], [19.27564, 64.238388]]",2023-03-28
S1A_IW_SLC__1SDV_20230328T052136_20230328T052203_047840_05BF83_7072,DESCENDING,168,369,2023-03-28,2023-03-28T05:21:36.000Z,2023-03-27,"[455, 454, 478, 477, 431, 430]","['AC-24B', 'AC-25B', 'AC-24C', 'AC-25C', 'AC-24A', 'AC-25A']","['55', '85', '70', '130', '80', '90']","[-10.0, -8.0, -10.0, -8.0, -10.0, -8.0]",6,"[[20.191729, 65.756561], [21.245163, 67.340088], [15.207954, 67.840324], [14.528232, 66.237701], [20.191729, 65.756561]]",2023-03-28
S1A_IW_SLC__1SDV_20230326T053811_20230326T053838_047811_05BE83_3E60,DESCENDING,139,371,2023-03-26,2023-03-26T05:38:11.000Z,2023-03-25,"[463, 461, 486, 439, 484, 437, 477, 478, 431, 430, 455, 454]","['AC-26B', 'AC-29B', 'AC-26C', 'AC-26A', 'AC-29C', 'AC-29A', 'AC-25C', 'AC-24C', 'AC-24A', 'AC-25A', 'AC-24B', 'AC-25B']","['40', '75', '45', '90', '145', '85', '130', '70', '80', '90', '55', '85']","[-10.0, -8.0, -10.0, -10.0, -8.0, -8.0, -8.0, -10.0, -10.0, -8.0, -10.0, -8.0]",12,"[[15.808266, 65.282188], [16.830559, 66.867043], [10.90213, 67.362747], [10.239535, 65.759735], [15.808266, 65.282188]]",2023-03-26
S1A_IW_SLC__1SDV_20230325T161511_20230325T161538_047803_05BE49_44F8,ASCENDING,131,214,2023-03-25,2023-03-25T16:15:11.000Z,2023-03-26,"[429, 476, 453]","['AC-28A', 'AC-28C', 'AC-28B']","['130', '45', '20']","[-8.0, -8.0, -8.0]",3,"[[15.507908, 66.646759], [16.515942, 65.06134], [22.049414, 65.537613], [21.39535, 67.140778], [15.507908, 66.646759]]",2023-03-25
S1A_IW_SLC__1SDV_20230306T162321_20230306T162348_047526_05B4F9_F2AC,ASCENDING,29,213,2023-03-06,2023-03-06T16:23:21.000Z,2023-03-07,"[495, 483, 494, 448, 447, 436, 449, 473, 472, 471, 460, 496]","['AC-40C', 'AC-31C', 'AC-39C', 'AC-40A', 'AC-39A', 'AC-31A', 'AC-41A', 'AC-41B', 'AC-40B', 'AC-39B', 'AC-31B', 'AC-41C']","['160', '45', '45', '120', '40', '70', '60', '60', '65', '90', '65', '80']","[-22.0, nan, -22.0, -22.0, -22.0, nan, -22.0, -22.0, -22.0, -22.0, nan, -22.0]",12,"[[13.617757, 66.429398], [14.610379, 64.843185], [20.083714, 65.315491], [19.437891, 66.918915], [13.617757, 66.429398]]",2023-03-06
S1A_IW_SLC__1SDV_20220316T163126_20220316T163153_042349_050C83_200D,ASCENDING,102,213,2022-03-16,2022-03-16T16:31:26.000Z,2022-03-15,"[425, 424, 423, 422, 279, 280, 281, 282, 135, 136, 137, 138]","['AC-46C', 'AC-43C', 'AC-38C', 'AC-23C', 'AC-23B', 'AC-38B', 'AC-43B', 'AC-46B', 'AC-23A', 'AC-38A', 'AC-43A', 'AC-46A']","['260', '160', '100', '75', '170', '95', '35', '125', '120', '75', '220', '155']","[-3.0, -4.0, -17.0, -1.0, -1.0, -17.0, -4.0, -3.0, -1.0, -17.0, -4.0, -3.0]",12,"[[11.649614, 66.310425], [12.634095, 64.723801], [18.078859, 65.194305], [17.437569, 66.797874], [11.649614, 66.310425]]",2022-03-16
S1A_IW_SLC__1SDV_20220314T053007_20220314T053035_042313_050B38_3653,DESCENDING,66,374,2022-03-14,2022-03-14T05:30:07.000Z,2022-03-13,"[416, 415, 414, 413, 271, 272, 273, 127, 128, 126, 129, 423, 424, 425, 136, 137, 138, 280, 281, 282]","['AC-36C', 'AC-35C', 'AC-34C', 'AC-30C', 'AC-34B', 'AC-35B', 'AC-36B', 'AC-34A', 'AC-35A', 'AC-30A', 'AC-36A', 'AC-38C', 'AC-43C', 'AC-46C', 'AC-38A', 'AC-43A', 'AC-46A', 'AC-38B', 'AC-43B', 'AC-46B']","['150', '85', '75', '75', '85', '120', '60', '150', '80', '90', '110', '100', '160', '260', '75', '220', '155', '95', '35', '125']","[-5.0, -8.4, nan, -5.0, nan, -8.4, -5.0, nan, -8.4, -5.0, -5.0, -17.0, -4.0, -3.0, -17.0, -4.0, -3.0, -17.0, -4.0, -3.0]",20,"[[17.26404, 64.296463], [18.258965, 65.941078], [12.550977, 66.424774], [11.900536, 64.763374], [17.26404, 64.296463]]",2022-03-14
S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,DESCENDING,66,369,2022-03-14,2022-03-14T05:29:43.000Z,2022-03-13,"[416, 415, 414, 413, 270, 271, 272, 273, 127, 128, 126, 129, 422, 424, 425, 135, 137, 138, 279, 281, 282]","['AC-36C', 'AC-35C', 'AC-34C', 'AC-30C', 'AC-30B', 'AC-34B', 'AC-35B', 'AC-36B', 'AC-34A', 'AC-35A', 'AC-30A', 'AC-36A', 'AC-23C', 'AC-43C', 'AC-46C', 'AC-23A', 'AC-43A', 'AC-46A', 'AC-23B', 'AC-43B', 'AC-46B']","['150', '85', '75', '75', '230', '85', '120', '60', '150', '80', '90', '110', '75', '160', '260', '120', '220', '155', '170', '35', '125']","[-5.0, -8.4, nan, -5.0, -5.0, nan, -8.4, -5.0, nan, -8.4, -5.0, -5.0, -1.0, -4.0, -3.0, -1.0, -4.0, -3.0, -1.0, -4.0, -3.0]",21,"[[18.189089, 65.81337], [19.247929, 67.396713], [13.187674, 67.899002], [12.504882, 66.296364], [18.189089, 65.81337]]",2022-03-14
S1A_IW_SLC__1SDV_20210316T162309_20210316T162336_037026_045B8A_178D,ASCENDING,29,213,2021-03-16,2021-03-16T16:23:09.000Z,2021-03-15,"[247, 390, 103]","['AC-41B', 'AC-41C', 'AC-41A']","['140', '100', '90']","[-10.0, -10.0, -10.0]",3,"[[13.617011, 66.42836], [14.609632, 64.842285], [20.082888, 65.314674], [19.43701, 66.917961], [13.617011, 66.42836]]",2021-03-16
S1B_IW_SLC__1SDV_20210315T163051_20210315T163119_026028_031B07_CEBB,ASCENDING,102,215,2021-03-15,2021-03-15T16:30:51.000Z,2021-03-16,"[391, 392, 104, 105, 248, 249]","['AC-42C', 'AC-31C', 'AC-42A', 'AC-31A', 'AC-42B', 'AC-31B']","['90', '150', '50', '140', '85', '80']","[-10.0, -5.0, -10.0, -5.0, -10.0, -5.0]",6,"[[11.360292, 67.084694], [12.414923, 65.444458], [17.788858, 65.899879], [17.096907, 67.558167], [11.360292, 67.084694]]",2021-03-15
S1B_IW_SLC__1SDV_20200228T053728_20200228T053755_020465_026C69_3787,DESCENDING,139,374,2020-02-28,2020-02-28T05:37:28.000Z,2020-02-27,"[215, 359, 72]","['AC-42B', 'AC-42C', 'AC-42A']","['130', '135', '75']","[-15.0, -15.0, -15.0]",3,"[[15.262314, 64.304703], [16.224737, 65.892281], [10.489922, 66.379875], [9.861691, 64.77594], [15.262314, 64.304703]]",2020-02-28
S1B_IW_SLC__1SDV_20200228T053703_20200228T053730_020465_026C69_96A6,DESCENDING,139,369,2020-02-28,2020-02-28T05:37:03.000Z,2020-02-27,"[215, 359, 72]","['AC-42B', 'AC-42C', 'AC-42A']","['130', '135', '75']","[-15.0, -15.0, -15.0]",3,"[[16.14423, 65.765556], [17.20212, 67.348358], [11.119047, 67.853912], [10.437722, 66.251732], [16.14423, 65.765556]]",2020-02-28
S1A_IW_SLC__1SDV_20200226T162303_20200226T162330_031426_039E30_0FF4,ASCENDING,29,213,2020-02-26,2020-02-26T16:23:03.000Z,2020-02-27,"[359, 72, 215]","['AC-42C', 'AC-42A', 'AC-42B']","['135', '75', '130']","[-15.0, -15.0, -15.0]",3,"[[13.616261, 66.428543], [14.608953, 64.842476], [20.082418, 65.314903], [19.436491, 66.918182], [13.616261, 66.428543]]",2020-02-26
S1B_IW_SLC__1SDV_20200225T163048_20200225T163116_020428_026B4D_0975,ASCENDING,102,216,2020-02-25,2020-02-25T16:30:48.000Z,2020-02-26,"[358, 71, 214]","['AC-33C', 'AC-33A', 'AC-33B']","['70', '170', '90']","[-15.0, -15.0, -15.0]",3,"[[11.242232, 67.24614], [12.308646, 65.606735], [17.718925, 66.064209], [17.020248, 67.722038], [11.242232, 67.24614]]",2020-02-25
S1B_IW_SLC__1SDV_20200225T163020_20200225T163050_020428_026B4D_8053,ASCENDING,102,210,2020-02-25,2020-02-25T16:30:20.000Z,2020-02-26,"[358, 214]","['AC-33C', 'AC-33B']","['70', '90']","[-15.0, -15.0]",2,"[[12.215299, 65.738731], [13.248021, 63.980431], [18.344364, 64.423553], [17.658129, 66.198303], [12.215299, 65.738731]]",2020-02-25
S1B_IW_SLC__1SDV_20190312T052851_20190312T052918_015317_01CABC_814C,DESCENDING,66,370,2019-03-12,2019-03-12T05:28:51.000Z,2019-03-11,"[196, 195, 197, 341, 340, 339, 53, 54, 52]","['AC-27B', 'AC-32B', 'AC-42B', 'AC-42C', 'AC-27C', 'AC-32C', 'AC-27A', 'AC-42A', 'AC-32A']","['30', '58', '90', '110', '210', '250+', '200', '30', '65']","[-15.0, -15.0, -10.0, -10.0, -15.0, -15.0, -15.0, -10.0, -15.0]",9,"[[17.670469, 65.349243], [18.681232, 66.934273], [12.981575, 67.40593], [12.317476, 65.803719], [17.670469, 65.349243]]",2019-03-12
