,ID,OG_ID,Triangle,Corner,TriangleCorner,date,SnowDepth,SnowDepth_Noplus,temperature,x_4326,y_4326,x_3006,y_3006,MiddleTime,era5_new_date,era5_plusminus,era5_precip,era5_temp
117,154,162,AC-35,B,AC-35B,2017-03-06,95,95,-10.0,16.55437651,66.02318273,570477.9784,7323367.637,12:47:30,2017-03-07,plus,0.1,-14.9
152,196,204,AC-27,B,AC-27B,2019-03-11,30,30,-15.0,15.77325645,66.10627946,534948.6291,7331971.961,10:15:00,2019-03-12,plus,0.0,-14.7
140,182,190,AC-28,B,AC-28B,2018-03-28,55,55,-8.0,15.93648025,66.15941633,542236.8719,7337994.957,10:47:30,2018-03-29,plus,0.1,-9.0
141,183,191,AC-32,B,AC-32B,2018-03-28,250,250,-5.0,15.96743701,66.06109946,543802.1738,7327058.39,14:37:30,2018-03-29,plus,0.1,-9.0
142,184,192,AC-33,B,AC-33B,2018-03-28,130,130,-10.0,16.12502754,66.06502455,550928.8997,7327614.924,08:35:00,2018-03-29,plus,0.1,-9.0
144,185,193,AC-24,B,AC-24B,2018-03-30,90,90,-5.0,15.75089585,66.21837029,533788.2675,7344453.175,14:02:30,2018-03-31,plus,0.1,-8.2
278,416,435,AC-36,C,AC-36C,2022-03-13,150,150,-5.0,16.83500371,66.00692786,583252.4008,7321900.346,06:57:00,2022-03-14,plus,0.0,-3.6
146,186,194,AC-25,B,AC-25B,2018-04-02,110,110,-5.0,15.92210788,66.22488338,541481.2433,7345282.029,15:20:00,2018-04-03,plus,0.0,-9.8
148,187,195,AC-26,B,AC-26B,2018-04-02,75,75,-5.0,16.06001278,66.19911613,547733.1046,7342508.393,13:45:00,2018-04-03,plus,0.0,-9.8
276,415,434,AC-35,C,AC-35C,2022-03-13,85,85,-8.4,16.63015012,66.00485918,573966.1625,7321413.04,05:40:30,2022-03-14,plus,0.0,-3.6
150,188,196,AC-29,B,AC-29B,2018-04-02,90,90,-5.0,16.13381444,66.1455831,551164.1776,7336600.318,12:12:30,2018-04-03,plus,0.0,-9.8
151,195,203,AC-32,B,AC-32B,2019-03-11,58,58,-15.0,15.96743701,66.06109946,543802.1738,7327058.39,08:15:00,2019-03-12,plus,0.0,-14.7
153,197,205,AC-42,B,AC-42B,2019-03-11,90,90,-10.0,15.76104404,65.87253495,534712.811,7305912.951,13:37:30,2019-03-12,plus,0.0,-14.7
101,146,154,AC-39,B,AC-39B,2017-03-04,70,70,-15.0,16.0215596,65.89003991,546562.9883,7308032.57,09:35:00,2017-03-05,plus,0.0,-16.8
274,414,433,AC-34,C,AC-34C,2022-03-13,75,75,,16.38630033,66.02781699,562846.7651,7323705.379,08:59:00,2022-03-14,plus,0.0,-3.6
272,413,432,AC-30,C,AC-30C,2022-03-13,75,75,-5.0,16.40948664,66.08242527,563760.9059,7329814.416,10:54:30,2022-03-14,plus,0.0,-3.6
158,211,222,AC-22,B,AC-22B,2019-04-08,160,160,,15.6976547,66.29959822,531291.7265,7353479.21,14:32:30,2019-04-09,plus,0.2,-8.0
