,ID_clean,ID_preclean,Triangle,Corner,TriangleCorner,date,SnowDepth,SnowDepth_Noplus,temperature,x_4326,y_4326,x_3006,y_3006,MiddleTime,mask.tif,angle.tif,VH.tif,VV.tif
0,0,1,AC-42,A,AC-42A,2017-02-21,50,50,-5.0,15.76098076,65.90840731,534661.4522,7309911.059,10:50:00,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/55_2017-02-21_clip/S1B__IW___A_20170221T163838_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/55_2017-02-21_clip/S1B__IW___A_20170221T163838_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/55_2017-02-21_clip/S1B__IW___A_20170221T163838_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/55_2017-02-21_clip/S1B__IW___A_20170221T163838_VV_gamma0-rtc.tif
1,0,1,AC-42,A,AC-42A,2017-02-21,50,50,-5.0,15.76098076,65.90840731,534661.4522,7309911.059,10:50:00,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/56_2017-02-21_clip/S1B__IW___A_20170221T163813_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/56_2017-02-21_clip/S1B__IW___A_20170221T163813_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/56_2017-02-21_clip/S1B__IW___A_20170221T163813_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/56_2017-02-21_clip/S1B__IW___A_20170221T163813_VV_gamma0-rtc.tif
2,286,299,AC-42,C,AC-42C,2017-02-21,110,110,-5.0,15.68504701,65.89042994,531224.7772,7307867.528,10:50:00,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/55_2017-02-21_clip/S1B__IW___A_20170221T163838_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/55_2017-02-21_clip/S1B__IW___A_20170221T163838_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/55_2017-02-21_clip/S1B__IW___A_20170221T163838_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/55_2017-02-21_clip/S1B__IW___A_20170221T163838_VV_gamma0-rtc.tif
3,286,299,AC-42,C,AC-42C,2017-02-21,110,110,-5.0,15.68504701,65.89042994,531224.7772,7307867.528,10:50:00,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/56_2017-02-21_clip/S1B__IW___A_20170221T163813_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/56_2017-02-21_clip/S1B__IW___A_20170221T163813_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/56_2017-02-21_clip/S1B__IW___A_20170221T163813_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/56_2017-02-21_clip/S1B__IW___A_20170221T163813_VV_gamma0-rtc.tif
4,142,150,AC-42,B,AC-42B,2017-02-21,85,85,-5.0,15.76104404,65.87253495,534712.811,7305912.951,10:50:00,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/55_2017-02-21_clip/S1B__IW___A_20170221T163838_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/55_2017-02-21_clip/S1B__IW___A_20170221T163838_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/55_2017-02-21_clip/S1B__IW___A_20170221T163838_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/55_2017-02-21_clip/S1B__IW___A_20170221T163838_VV_gamma0-rtc.tif
5,142,150,AC-42,B,AC-42B,2017-02-21,85,85,-5.0,15.76104404,65.87253495,534712.811,7305912.951,10:50:00,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/56_2017-02-21_clip/S1B__IW___A_20170221T163813_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/56_2017-02-21_clip/S1B__IW___A_20170221T163813_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/56_2017-02-21_clip/S1B__IW___A_20170221T163813_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/56_2017-02-21_clip/S1B__IW___A_20170221T163813_VV_gamma0-rtc.tif
6,3,4,AC-31,A,AC-31A,2017-02-26,20,20,-8.0,15.59576559,65.98449828,527055.8412,7318310.67,13:52:30,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif
7,289,302,AC-31,C,AC-31C,2017-02-26,65,65,-8.0,15.68346284,65.98772306,531034.4515,7318710.707,13:52:30,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif
8,143,151,AC-38,B,AC-38B,2017-02-26,75,75,-10.0,16.06601119,65.92904529,548515.1091,7312413.359,08:55:00,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif
9,287,300,AC-38,C,AC-38C,2017-02-26,75,75,-10.0,16.11606048,65.89957289,550851.1264,7309168.337,08:55:00,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif
10,1,2,AC-38,A,AC-38A,2017-02-26,50,50,-10.0,16.02861195,65.89659453,546872.4418,7308768.327,08:55:00,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif
11,145,153,AC-31,B,AC-31B,2017-02-26,60,60,-8.0,15.63274264,66.01705338,528698.4479,7321955.65,13:52:30,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif
12,144,152,AC-37,B,AC-37B,2017-02-26,70,70,-8.0,15.93669383,65.93795328,542615.3144,7313312.254,11:27:30,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif
13,2,3,AC-37,A,AC-37A,2017-02-26,45,45,-8.0,15.84881121,65.9380027,538617.1852,7313260.876,11:27:30,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif
14,288,301,AC-37,C,AC-37C,2017-02-26,20,20,-8.0,15.89264784,65.90691896,540660.7363,7309824.185,11:27:30,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif
15,293,306,AC-33,C,AC-33C,2017-03-04,40,40,-7.0,16.08053297,66.03404496,548974.3517,7324126.804,14:57:30,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
16,292,305,AC-41,C,AC-41C,2017-03-04,125,125,-9.0,16.30759412,65.80478255,559797.0704,7298773.267,12:50:00,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
17,291,304,AC-40,C,AC-40C,2017-03-04,155,155,-9.0,16.13319552,65.84112738,551749.3676,7302668.783,11:12:30,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
18,290,303,AC-39,C,AC-39C,2017-03-04,30,30,-15.0,15.99713695,65.85558969,545510.8611,7304175.201,09:35:00,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
19,149,157,AC-33,B,AC-33B,2017-03-04,30,30,-7.0,16.12502754,66.06502455,550928.8997,7327614.924,14:57:30,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
