,Nothing,ID_clean,ID_preclean,Triangle,Corner,TriangleCorner,date,SnowDepth,SnowDepth_Noplus,temperature,x_4326,y_4326,x_3006,y_3006,middleTime,era5_new_date,era5_plusminus,era5_precip,era5_temp,granule_time,time_difference,granule_id,orbitProp,pathNr,frameNr,mask.tif,angle.tif,VH.tif,VV.tif
0,117,154,162,AC-35,B,AC-35B,2017-03-06,95,95,-10.0,16.55437651,66.02318273,570477.9784,7323367.637,12:47:30,2017-03-07,plus,0.1,-14.9,16:22:17,2:35:00,S1B_IW_SLC__1SDV_20170307T162217_20170307T162245_004605_008070_6515,ASCENDING,29,216,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/26_2017-03-07_clip_100/S1B__IW___A_20170307T162217_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/26_2017-03-07_clip_100/S1B__IW___A_20170307T162217_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/26_2017-03-07_clip_100/S1B__IW___A_20170307T162217_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/26_2017-03-07_clip_100/S1B__IW___A_20170307T162217_VV_gamma0-rtc.tif
1,117,154,162,AC-35,B,AC-35B,2017-03-06,95,95,-10.0,16.55437651,66.02318273,570477.9784,7323367.637,12:47:30,2017-03-07,plus,0.1,-14.9,16:21:49,2:34:00,S1B_IW_SLC__1SDV_20170307T162149_20170307T162219_004605_008070_F2EE,ASCENDING,29,210,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/27_2017-03-07_clip_100/S1B__IW___A_20170307T162149_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/27_2017-03-07_clip_100/S1B__IW___A_20170307T162149_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/27_2017-03-07_clip_100/S1B__IW___A_20170307T162149_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/27_2017-03-07_clip_100/S1B__IW___A_20170307T162149_VV_gamma0-rtc.tif
2,152,196,204,AC-27,B,AC-27B,2019-03-11,30,30,-15.0,15.77325645,66.10627946,534948.6291,7331971.961,10:15:00,2019-03-12,plus,0.0,-14.7,05:28:51,5:47:00,S1B_IW_SLC__1SDV_20190312T052851_20190312T052918_015317_01CABC_814C,DESCENDING,66,370,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/15_2019-03-12_clip_100/S1B__IW___D_20190312T052851_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/15_2019-03-12_clip_100/S1B__IW___D_20190312T052851_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/15_2019-03-12_clip_100/S1B__IW___D_20190312T052851_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/15_2019-03-12_clip_100/S1B__IW___D_20190312T052851_VV_gamma0-rtc.tif
3,144,185,193,AC-24,B,AC-24B,2018-03-30,90,90,-5.0,15.75089585,66.21837029,533788.2675,7344453.175,14:02:30,2018-03-31,plus,0.1,-8.2,16:30:24,1:28:00,S1B_IW_SLC__1SDV_20180331T163024_20180331T163052_010278_012B11_63F7,ASCENDING,102,213,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/18_2018-03-31_clip_100/S1B__IW___A_20180331T163024_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/18_2018-03-31_clip_100/S1B__IW___A_20180331T163024_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/18_2018-03-31_clip_100/S1B__IW___A_20180331T163024_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/18_2018-03-31_clip_100/S1B__IW___A_20180331T163024_VV_gamma0-rtc.tif
4,278,416,435,AC-36,C,AC-36C,2022-03-13,150,150,-5.0,16.83500371,66.00692786,583252.4008,7321900.346,06:57:00,2022-03-14,plus,0.0,-3.6,05:30:07,2:27:00,S1A_IW_SLC__1SDV_20220314T053007_20220314T053035_042313_050B38_3653,DESCENDING,66,374,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/6_2022-03-14_clip_100/S1A__IW___D_20220314T053007_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/6_2022-03-14_clip_100/S1A__IW___D_20220314T053007_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/6_2022-03-14_clip_100/S1A__IW___D_20220314T053007_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/6_2022-03-14_clip_100/S1A__IW___D_20220314T053007_VV_gamma0-rtc.tif
5,278,416,435,AC-36,C,AC-36C,2022-03-13,150,150,-5.0,16.83500371,66.00692786,583252.4008,7321900.346,06:57:00,2022-03-14,plus,0.0,-3.6,05:29:43,2:28:00,S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,DESCENDING,66,369,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/7_2022-03-14_clip_100/S1A__IW___D_20220314T052943_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/7_2022-03-14_clip_100/S1A__IW___D_20220314T052943_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/7_2022-03-14_clip_100/S1A__IW___D_20220314T052943_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/7_2022-03-14_clip_100/S1A__IW___D_20220314T052943_VV_gamma0-rtc.tif
6,146,186,194,AC-25,B,AC-25B,2018-04-02,110,110,-5.0,15.92210788,66.22488338,541481.2433,7345282.029,15:20:00,2018-04-03,plus,0.0,-9.8,05:36:52,11:44:00,S1B_IW_SLC__1SDV_20180403T053652_20180403T053718_010315_012C56_7486,DESCENDING,139,369,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/16_2018-04-03_clip_100/S1B__IW___D_20180403T053652_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/16_2018-04-03_clip_100/S1B__IW___D_20180403T053652_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/16_2018-04-03_clip_100/S1B__IW___D_20180403T053652_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/16_2018-04-03_clip_100/S1B__IW___D_20180403T053652_VV_gamma0-rtc.tif
7,148,187,195,AC-26,B,AC-26B,2018-04-02,75,75,-5.0,16.06001278,66.19911613,547733.1046,7342508.393,13:45:00,2018-04-03,plus,0.0,-9.8,05:36:52,10:09:00,S1B_IW_SLC__1SDV_20180403T053652_20180403T053718_010315_012C56_7486,DESCENDING,139,369,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/16_2018-04-03_clip_100/S1B__IW___D_20180403T053652_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/16_2018-04-03_clip_100/S1B__IW___D_20180403T053652_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/16_2018-04-03_clip_100/S1B__IW___D_20180403T053652_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/16_2018-04-03_clip_100/S1B__IW___D_20180403T053652_VV_gamma0-rtc.tif
8,276,415,434,AC-35,C,AC-35C,2022-03-13,85,85,-8.4,16.63015012,66.00485918,573966.1625,7321413.04,05:40:30,2022-03-14,plus,0.0,-3.6,05:30:07,1:10:00,S1A_IW_SLC__1SDV_20220314T053007_20220314T053035_042313_050B38_3653,DESCENDING,66,374,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/6_2022-03-14_clip_100/S1A__IW___D_20220314T053007_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/6_2022-03-14_clip_100/S1A__IW___D_20220314T053007_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/6_2022-03-14_clip_100/S1A__IW___D_20220314T053007_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/6_2022-03-14_clip_100/S1A__IW___D_20220314T053007_VV_gamma0-rtc.tif
9,276,415,434,AC-35,C,AC-35C,2022-03-13,85,85,-8.4,16.63015012,66.00485918,573966.1625,7321413.04,05:40:30,2022-03-14,plus,0.0,-3.6,05:29:43,1:11:00,S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,DESCENDING,66,369,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/7_2022-03-14_clip_100/S1A__IW___D_20220314T052943_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/7_2022-03-14_clip_100/S1A__IW___D_20220314T052943_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/7_2022-03-14_clip_100/S1A__IW___D_20220314T052943_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/7_2022-03-14_clip_100/S1A__IW___D_20220314T052943_VV_gamma0-rtc.tif
