,ID_clean,ID_preclean,Triangle,Corner,TriangleCorner,date,SnowDepth,SnowDepth_Noplus,temperature,x_4326,y_4326,x_3006,y_3006,middleTime,granule_time,time_difference,granule_id,orbitProp,pathNr,frameNr,mask.tif,angle.tif,VH.tif,VV.tif
0,293,306,AC-33,C,AC-33C,2017-03-04,40,40,-7.0,16.08053297,66.03404496,548974.3517,7324126.804,14:57:30,05:29:31,10:28:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
1,292,305,AC-41,C,AC-41C,2017-03-04,125,125,-9.0,16.30759412,65.80478255,559797.0704,7298773.267,12:50:00,05:29:31,8:21:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
2,291,304,AC-40,C,AC-40C,2017-03-04,155,155,-9.0,16.13319552,65.84112738,551749.3676,7302668.783,11:12:30,05:29:31,6:43:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
3,290,303,AC-39,C,AC-39C,2017-03-04,30,30,-15.0,15.99713695,65.85558969,545510.8611,7304175.201,09:35:00,05:29:31,5:06:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
4,149,157,AC-33,B,AC-33B,2017-03-04,30,30,-7.0,16.12502754,66.06502455,550928.8997,7327614.924,14:57:30,05:29:31,10:28:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
5,148,156,AC-41,B,AC-41B,2017-03-04,13,13,-9.0,16.35196411,65.83569752,561751.7168,7302261.377,12:50:00,05:29:31,8:21:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
6,146,154,AC-39,B,AC-39B,2017-03-04,70,70,-15.0,16.0215596,65.89003991,546562.9883,7308032.57,09:35:00,05:29:31,5:06:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
7,147,155,AC-40,B,AC-40B,2017-03-04,75,75,-9.0,16.17741866,65.87209272,553703.9877,7306156.875,11:12:30,05:29:31,6:43:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
8,4,5,AC-39,A,AC-39A,2017-03-04,60,60,-15.0,15.93640688,65.88145457,542696.2178,7307015.189,09:35:00,05:29:31,5:06:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
9,5,6,AC-40,A,AC-40A,2017-03-04,82,82,-9.0,16.08976248,65.87227973,549705.8182,7306105.522,11:12:30,05:29:31,6:43:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
