FID,ID,OG_ID,Triangle,Corner,TriangleCo,date,SnowDepth,SnowDepth_,temperatur,x_4326,y_4326,x_3006,y_3006,MiddleTime,TPI_10_101,TPI_50_501,TPI_1_1001,TRI_10_101,TRI_50_501,TRI_1_1001,ASP_10_101,SLOP_1_101,ASP_50_501,SLO_50_501,ASP_1_1001,SLO_1_1001,ELEV_100,ELEV_500,ELEV_1000
0,0,1,AC-42,A,AC-42A,21/02/2017,50,50,-5,15.76098076,65.90840731,534661.4522,7309911.059,10:50:00,-1.713559985,19.81520081,11.30620003,11.09840012,76.26499939,78.30200195,0.559442997,1.830909967,197.3739929,1.877949953,196.6629944,1.269950032,803.242981,803.9829712,782.6569824
142,142,150,AC-42,B,AC-42B,21/02/2017,85,85,-5,15.76104404,65.87253495,534712.811,7305912.951,10:50:00,0.619994998,0.342896014,-11.65200043,5.452060223,63.93880081,134.201004,262.9590149,3.099920034,271.3080139,2.909339905,284.2520142,3.04102993,693.6859741,695.7960205,706.1760254
286,286,299,AC-42,C,AC-42C,21/02/2017,110,110,-5,15.68504701,65.89042994,531224.7772,7307867.528,10:50:00,-1.701290011,3.399169922,-14.87469959,9.344889641,44.42750168,102.4869995,134.3450012,2.233700037,152.2100067,1.939159989,131.5059967,2.095200062,699.2210083,701.5529785,693.3339844
1,1,2,AC-38,A,AC-38A,26/02/2017,50,50,-10,16.02861195,65.89659453,546872.4418,7308768.327,08:55:00,1.431519985,3.881099939,-34.15829849,6.611269951,142.4859924,308.7309875,226.2039948,5.317560196,231.4400024,6.3759799,236.4810028,6.495520115,1035.660034,1022.25,1020.330017
2,2,3,AC-37,A,AC-37A,26/02/2017,45,45,-8,15.84881121,65.9380027,538617.1852,7313260.876,11:27:30,0.506165028,37.36100006,49.73519897,3.730979919,140.3589935,223.2079926,228.6880035,6.775279999,221.5780029,3.446559906,220.0500031,3.175909996,944.3469849,952.3309937,946.2630005
3,3,4,AC-31,A,AC-31A,26/02/2017,20,20,-8,15.59576559,65.98449828,527055.8412,7318310.67,13:52:30,-1.083739996,0.197510004,0.464661002,6.551080227,99.93540192,169.8529968,284.9729919,7.176430225,273.8580017,4.698430061,257.9630127,3.5144701,847.3530273,861.3309937,838.3720093
143,143,151,AC-38,B,AC-38B,26/02/2017,75,75,-10,16.06601119,65.92904529,548515.1091,7312413.359,08:55:00,-0.086425804,-3.205929995,-18.29269981,2.373209953,111.685997,196.845993,25.39279938,3.822050095,31.02829933,5.072130203,37.98680115,4.484469891,881.7990112,885.6010132,856.1799927
144,144,152,AC-37,B,AC-37B,26/02/2017,70,70,-8,15.93669383,65.93795328,542615.3144,7313312.254,11:27:30,2.635560036,-15.3409996,-59.39580154,9.399220467,97.62449646,294.1260071,268.8169861,3.318979979,309.5710144,3.479449987,284.8869934,5.197490215,849.2589722,849.3640137,865.9689941
145,145,153,AC-31,B,AC-31B,26/02/2017,60,60,-8,15.63274264,66.01705338,528698.4479,7321955.65,13:52:30,-2.391720057,-0.130919993,63.77899933,5.437049866,70.01499939,195.5339966,290.381012,1.272729993,287.2409973,2.544039965,268.2279968,1.042359948,871.4710083,881.5880127,943.4320068
287,287,300,AC-38,C,AC-38C,26/02/2017,75,75,-10,16.11606048,65.89957289,550851.1264,7309168.337,08:55:00,1.214359999,21.40259933,39.09859848,3.537460089,89.29470062,275.1390076,80.18190002,4.245029926,55.88059998,2.73071003,39.59009933,5.105269909,1059.390015,1069.689941,1040.930054
