granule_id,date,measurement_id,snow_depth,temperature,corner,x_coord,y_coord,x_coord3006,y_coord3006
S1A_IW_SLC__1SDV_20230326T053811_20230326T053838_047811_05BE83_3E60,2023-03-26,429,130,-8.0,AC-28A,15.8491718,66.15323252,538308.6585,7337249.602
S1A_IW_SLC__1SDV_20230326T053811_20230326T053838_047811_05BE83_3E60,2023-03-26,453,20,-8.0,AC-28B,15.93648025,66.15941633,542236.8719,7337994.957
S1A_IW_SLC__1SDV_20230326T053811_20230326T053838_047811_05BE83_3E60,2023-03-26,476,45,-8.0,AC-28C,15.90602943,66.12572896,540917.8704,7334220.113
S1A_IW_SLC__1SDV_20230325T161511_20230325T161538_047803_05BE49_44F8,2023-03-25,432,80,-12.0,AC-34A,16.33018168,66.05549638,560237.5303,7326734.951
S1A_IW_SLC__1SDV_20230325T161511_20230325T161538_047803_05BE49_44F8,2023-03-25,433,45,-10.0,AC-30A,16.32392487,66.07345377,559911.9498,7328730.193
S1A_IW_SLC__1SDV_20230325T161511_20230325T161538_047803_05BE49_44F8,2023-03-25,437,85,-8.0,AC-29A,16.14107316,66.10983041,551564.2798,7332621.634
S1A_IW_SLC__1SDV_20230325T161511_20230325T161538_047803_05BE49_44F8,2023-03-25,439,90,-10.0,AC-26A,16.04425364,66.16381694,547089.1167,7338562.269
S1A_IW_SLC__1SDV_20230325T161511_20230325T161538_047803_05BE49_44F8,2023-03-25,456,70,-12.0,AC-34B,16.41726798,66.06140904,564165.8276,7327480.284
S1A_IW_SLC__1SDV_20230325T161511_20230325T161538_047803_05BE49_44F8,2023-03-25,457,85,-10.0,AC-30B,16.3475215,66.10802569,560896.7912,7332605.764
S1A_IW_SLC__1SDV_20230325T161511_20230325T161538_047803_05BE49_44F8,2023-03-25,461,75,-8.0,AC-29B,16.13381444,66.1455831,551164.1776,7336600.318
S1A_IW_SLC__1SDV_20230325T161511_20230325T161538_047803_05BE49_44F8,2023-03-25,463,40,-10.0,AC-26B,16.06001278,66.19911613,547733.1046,7342508.393
S1A_IW_SLC__1SDV_20230325T161511_20230325T161538_047803_05BE49_44F8,2023-03-25,479,60,-12.0,AC-34C,16.38630033,66.02781699,562846.7651,7323705.379
S1A_IW_SLC__1SDV_20230325T161511_20230325T161538_047803_05BE49_44F8,2023-03-25,480,60,-10.0,AC-30C,16.40948664,66.08242527,563760.9059,7329814.416
S1A_IW_SLC__1SDV_20230325T161511_20230325T161538_047803_05BE49_44F8,2023-03-25,484,145,-8.0,AC-29C,16.21388604,66.13022809,554810.2752,7334956.739
S1A_IW_SLC__1SDV_20230325T161511_20230325T161538_047803_05BE49_44F8,2023-03-25,486,45,-10.0,AC-26C,16.12773116,66.17593417,550828.7822,7339978.009
S1A_IW_SLC__1SDV_20230311T163132_20230311T163159_047599_05B766_9C49,2023-03-11,434,80,-20.0,AC-33A,16.03670724,66.06518167,546930.7414,7327563.494
S1A_IW_SLC__1SDV_20230311T163132_20230311T163159_047599_05B766_9C49,2023-03-11,435,120,-10.0,AC-32A,15.88210448,66.05188319,539953.2836,7325974.195
S1A_IW_SLC__1SDV_20230311T163132_20230311T163159_047599_05B766_9C49,2023-03-11,438,140,-10.0,AC-27A,15.71649311,66.07877936,532418.2506,7328876.351
S1A_IW_SLC__1SDV_20230311T163132_20230311T163159_047599_05B766_9C49,2023-03-11,458,25,-20.0,AC-33B,16.12502754,66.06502455,550928.8997,7327614.924
S1A_IW_SLC__1SDV_20230311T163132_20230311T163159_047599_05B766_9C49,2023-03-11,459,110,-10.0,AC-32B,15.96743701,66.06109946,543802.1738,7327058.39
S1A_IW_SLC__1SDV_20230311T163132_20230311T163159_047599_05B766_9C49,2023-03-11,462,40,-10.0,AC-27B,15.77325645,66.10627946,534948.6291,7331971.961
S1A_IW_SLC__1SDV_20230311T163132_20230311T163159_047599_05B766_9C49,2023-03-11,481,40,-20.0,AC-33C,16.08053297,66.03404496,548974.3517,7324126.804
S1A_IW_SLC__1SDV_20230311T163132_20230311T163159_047599_05B766_9C49,2023-03-11,482,260,-10.0,AC-32C,15.94437763,66.0264787,542816.3157,7323183.87
S1A_IW_SLC__1SDV_20230311T163132_20230311T163159_047599_05B766_9C49,2023-03-11,485,230,-10.0,AC-27C,15.80351497,66.07257278,536364.3222,7328232.328
S1A_IW_SLC__1SDV_20230306T162321_20230306T162348_047526_05B4F9_F2AC,2023-03-06,445,80,-15.0,AC-37A,15.84881121,65.9380027,538617.1852,7313260.876
S1A_IW_SLC__1SDV_20230306T162321_20230306T162348_047526_05B4F9_F2AC,2023-03-06,446,55,-5.0,AC-38A,16.02861195,65.89659453,546872.4418,7308768.327
S1A_IW_SLC__1SDV_20230306T162321_20230306T162348_047526_05B4F9_F2AC,2023-03-06,450,45,-20.0,AC-42A,15.76098076,65.90840731,534661.4522,7309911.059
S1A_IW_SLC__1SDV_20230306T162321_20230306T162348_047526_05B4F9_F2AC,2023-03-06,469,45,-15.0,AC-37B,15.93669383,65.93795328,542615.3144,7313312.254
S1A_IW_SLC__1SDV_20230306T162321_20230306T162348_047526_05B4F9_F2AC,2023-03-06,470,70,-5.0,AC-38B,16.06601119,65.92904529,548515.1091,7312413.359
S1A_IW_SLC__1SDV_20230306T162321_20230306T162348_047526_05B4F9_F2AC,2023-03-06,474,65,-20.0,AC-42B,15.76104404,65.87253495,534712.811,7305912.951
S1A_IW_SLC__1SDV_20230306T162321_20230306T162348_047526_05B4F9_F2AC,2023-03-06,492,25,-15.0,AC-37C,15.89264784,65.90691896,540660.7363,7309824.185
S1A_IW_SLC__1SDV_20230306T162321_20230306T162348_047526_05B4F9_F2AC,2023-03-06,493,85,-5.0,AC-38C,16.11606048,65.89957289,550851.1264,7309168.337
S1A_IW_SLC__1SDV_20230306T162321_20230306T162348_047526_05B4F9_F2AC,2023-03-06,497,50,-20.0,AC-42C,15.68504701,65.89042994,531224.7772,7307867.528
S1A_IW_SLC__1SDV_20220316T163126_20220316T163153_042349_050C83_200D,2022-03-16,139,195,-2.0,AC-22A,15.66018048,66.26705978,529649.2181,7349834.175
S1A_IW_SLC__1SDV_20220316T163126_20220316T163153_042349_050C83_200D,2022-03-16,140,60,,AC-42A,15.76098076,65.90840731,534661.4522,7309911.059
S1A_IW_SLC__1SDV_20220316T163126_20220316T163153_042349_050C83_200D,2022-03-16,283,190,-2.0,AC-22B,15.6976547,66.29959822,531291.7265,7353479.21
S1A_IW_SLC__1SDV_20220316T163126_20220316T163153_042349_050C83_200D,2022-03-16,284,100,,AC-42B,15.76104404,65.87253495,534712.811,7305912.951
S1A_IW_SLC__1SDV_20220316T163126_20220316T163153_042349_050C83_200D,2022-03-16,426,240,-2.0,AC-22C,15.74886754,66.27024759,533627.8269,7350234.324
S1A_IW_SLC__1SDV_20220316T163126_20220316T163153_042349_050C83_200D,2022-03-16,427,125,,AC-42C,15.68504701,65.89042994,531224.7772,7307867.528
S1A_IW_SLC__1SDV_20220314T053007_20220314T053035_042313_050B38_3653,2022-03-14,134,180,-8.4,AC-29A,16.14107316,66.10983041,551564.2798,7332621.634
S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,2022-03-14,130,155,-1.0,AC-21A,15.49256311,66.32241149,522072.9725,7355934.593
S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,2022-03-14,131,130,-2.0,AC-24A,15.69390556,66.19086231,531257.926,7341357.54
S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,2022-03-14,132,100,-2.0,AC-25A,15.84925843,66.20434872,538235.3079,7342946.922
S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,2022-03-14,133,135,-6.0,AC-26A,16.04425364,66.16381694,547089.1167,7338562.269
S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,2022-03-14,134,180,-8.4,AC-29A,16.14107316,66.10983041,551564.2798,7332621.634
S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,2022-03-14,274,145,-1.0,AC-21B,15.58142379,66.32569497,526051.5524,7356334.762
S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,2022-03-14,275,85,-2.0,AC-24B,15.75089585,66.21837029,533788.2675,7344453.175
S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,2022-03-14,276,145,-2.0,AC-25B,15.92210788,66.22488338,541481.2433,7345282.029
S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,2022-03-14,277,70,-6.0,AC-26B,16.06001278,66.19911613,547733.1046,7342508.393
S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,2022-03-14,278,130,-8.4,AC-29B,16.13381444,66.1455831,551164.1776,7336600.318
S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,2022-03-14,417,165,-1.0,AC-21C,15.54403889,66.2931197,524408.0744,7352688.726
S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,2022-03-14,418,195,-2.0,AC-24C,15.78131809,66.18466847,535204.0008,7340713.562
S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,2022-03-14,419,190,-2.0,AC-25C,15.92966596,66.18915009,541880.3604,7341304.369
S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,2022-03-14,420,70,-6.0,AC-26C,16.12773116,66.17593417,550828.7822,7339978.009
S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,2022-03-14,421,50,-8.4,AC-29C,16.21388604,66.13022809,554810.2752,7334956.739
S1A_IW_SLC__1SDV_20220309T052155_20220309T052223_042240_0508CF_95FB,2022-03-09,123,70,-7.0,AC-39A,15.93640688,65.88145457,542696.2178,7307015.189
S1A_IW_SLC__1SDV_20220309T052155_20220309T052223_042240_0508CF_95FB,2022-03-09,267,135,-7.0,AC-39B,16.0215596,65.89003991,546562.9883,7308032.57
S1A_IW_SLC__1SDV_20220309T052155_20220309T052223_042240_0508CF_95FB,2022-03-09,410,40,-7.0,AC-39C,15.99713695,65.85558969,545510.8611,7304175.201
