ID,Triangle.x,Corner.x,Dates,SnowDepth,TriangleCorner,xcoord_EPSG_4326,ycoord_EPSG_4326
1,AC-42,A,2017-02-21,50,AC-42A,15.76098076,65.90840731
2,AC-38,A,2017-02-26,50,AC-38A,16.02861195,65.89659453
3,AC-37,A,2017-02-26,45,AC-37A,15.84881121,65.9380027
4,AC-31,A,2017-02-26,20,AC-31A,15.59576559,65.98449828
5,AC-39,A,2017-03-04,60,AC-39A,15.93640688,65.88145457
6,AC-40,A,2017-03-04,82,AC-40A,16.08976248,65.87227973
7,AC-41,A,2017-03-04,70,AC-41A,16.26443367,65.83598422
8,AC-33,A,2017-03-04,35,AC-33A,16.03670724,66.06518167
9,AC-32,A,2017-03-05,135,AC-32A,15.88210448,66.05188319
10,AC-27,A,2017-03-05,90,AC-27A,15.71649311,66.07877936
11,AC-30,A,2017-03-06,82,AC-30A,16.32392487,66.07345377
12,AC-34,A,2017-03-06,145,AC-34A,16.33018168,66.05549638
13,AC-35,A,2017-03-06,30,AC-35A,16.55332624,65.98731394
14,AC-36,A,2017-03-17,65,AC-36A,16.75175007,65.99519203
15,AC-29,A,2017-03-17,95,AC-29A,16.14107316,66.10983041
16,AC-26,A,2017-03-17,105,AC-26A,16.04425364,66.16381694
17,AC-25,A,2017-03-31,55,AC-25A,15.84925843,66.20434872
18,AC-24,A,2017-03-31,50,AC-24A,15.69390556,66.19086231
19,AC-22,A,2017-03-17,155,AC-22A,15.66018048,66.26705978
20,AC-21,A,2017-03-17,60,AC-21A,15.49256311,66.32241149
21,AC-23,A,2017-04-18,90,AC-23A,15.37146429,66.23064849
22,AC-28,A,2017-04-14,20,AC-28A,15.8491718,66.15323252
23,AC-33,A,2017-04-16,45,AC-33A,16.03670724,66.06518167
24,AC-37,A,2017-04-16,70,AC-37A,15.84881121,65.9380027
25,AC-43,A,2017-04-18,200,AC-43A,15.25159463,66.12264974
26,AC-46,A,2017-04-18,NA,AC-46A,15.24173924,66.1936143
27,AC-46,A,2018-03-31,110,AC-46A,15.24173924,66.1936143
28,AC-43,A,2018-03-31,100,AC-43A,15.25159463,66.12264974
29,AC-23,A,2018-03-30,75,AC-23A,15.37146429,66.23064849
30,AC-21,A,2018-03-30,85,AC-21A,15.49256311,66.32241149
31,AC-22,A,2018-03-30,80,AC-22A,15.66018048,66.26705978
32,AC-42,A,2018-03-29,85,AC-42A,15.76098076,65.90840731
33,AC-37,A,2018-03-15,70,AC-37A,15.84881121,65.9380027
34,AC-37,A,2018-04-17,90,AC-37A,15.84881121,65.9380027
35,AC-39,A,2018-03-15,80,AC-39A,15.93640688,65.88145457
36,AC-38,A,2018-03-15,85,AC-38A,16.02861195,65.89659453
37,AC-40,A,2018-03-16,170,AC-40A,16.08976248,65.87227973
38,AC-41,A,2018-03-16,120,AC-41A,16.26443367,65.83598422
39,AC-31,A,2018-03-16,115,AC-31A,15.59576559,65.98449828
40,AC-27,A,2018-03-28,240,AC-27A,15.71649311,66.07877936
41,AC-28,A,2018-03-28,140,AC-28A,15.8491718,66.15323252
42,AC-32,A,2018-03-28,155,AC-32A,15.88210448,66.05188319
43,AC-33,A,2018-03-28,135,AC-33A,16.03670724,66.06518167
44,AC-24,A,2018-03-30,90,AC-24A,15.69390556,66.19086231
45,AC-25,A,2018-04-02,100,AC-25A,15.84925843,66.20434872
46,AC-26,A,2018-04-02,140,AC-26A,16.04425364,66.16381694
47,AC-29,A,2018-04-02,145,AC-29A,16.14107316,66.10983041
48,AC-30,A,2018-03-23,110,AC-30A,16.32392487,66.07345377
49,AC-34,A,2018-03-23,130,AC-34A,16.33018168,66.05549638
50,AC-35,A,2018-03-23,90,AC-35A,16.55332624,65.98731394
51,AC-36,A,2018-03-23,125,AC-36A,16.75175007,65.99519203
52,AC-43,A,2019-04-03,250+,AC-43A,15.25159463,66.12264974
53,AC-46,A,2019-04-05,65,AC-46A,15.24173924,66.1936143
54,AC-32,A,2019-03-11,65,AC-32A,15.88210448,66.05188319
55,AC-27,A,2019-03-11,200,AC-27A,15.71649311,66.07877936
56,AC-42,A,2019-03-11,30,AC-42A,15.76098076,65.90840731
57,AC-40,A,2019-03-03,NA,AC-40A,16.08976248,65.87227973
58,AC-39,A,2019-03-03,NA,AC-39A,15.93640688,65.88145457
59,AC-41,A,2019-03-03,NA,AC-41A,16.26443367,65.83598422
60,AC-33,A,2019-03-05,65,AC-33A,16.03670724,66.06518167
61,AC-31,A,2019-03-05,50,AC-31A,15.59576559,65.98449828
62,AC-38,A,2019-03-05,35,AC-38A,16.02861195,65.89659453
63,AC-37,A,2019-03-05,30,AC-37A,15.84881121,65.9380027
64,AC-28,A,2019-03-07,90,AC-28A,15.8491718,66.15323252
65,AC-35,A,2019-03-15,90,AC-35A,16.55332624,65.98731394
66,AC-36,A,2019-03-15,130,AC-36A,16.75175007,65.99519203
67,AC-26,A,2019-03-26,110,AC-26A,16.04425364,66.16381694
68,AC-25,A,2019-03-26,90,AC-25A,15.84925843,66.20434872
69,AC-24,A,2019-03-26,80,AC-24A,15.69390556,66.19086231
70,AC-29,A,2019-03-26,100,AC-29A,16.14107316,66.10983041
71,AC-34,A,2019-03-16,165,AC-34A,16.33018168,66.05549638
72,AC-30,A,2019-03-17,60,AC-30A,16.32392487,66.07345377
73,AC-22,A,2019-04-08,70,AC-22A,15.66018048,66.26705978
74,AC-21,A,2019-04-08,85,AC-21A,15.49256311,66.32241149
75,AC-22,A,2019-04-11,NA,AC-22A,15.66018048,66.26705978
76,AC-29,A,2019-04-11,NA,AC-29A,16.14107316,66.10983041
77,AC-23,A,2019-04-08,110,AC-23A,15.37146429,66.23064849
78,AC-33,A,2020-02-26,170,AC-33A,16.03670724,66.06518167
79,AC-42,A,2020-02-27,75,AC-42A,15.76098076,65.90840731
80,AC-40,A,2020-03-19,170,AC-40A,16.08976248,65.87227973
81,AC-41,A,2020-03-19,125,AC-41A,16.26443367,65.83598422
82,AC-37,A,2020-04-05,160,AC-37A,15.84881121,65.9380027
83,AC-38,A,2020-04-05,160,AC-38A,16.02861195,65.89659453
84,AC-39,A,2020-04-06,135,AC-39A,15.93640688,65.88145457
85,AC-36,A,2020-04-21,125,AC-36A,16.75175007,65.99519203
86,AC-35,A,2020-04-22,100,AC-35A,16.55332624,65.98731394
87,AC-28,A,2020-04-27,190,AC-28A,15.8491718,66.15323252
88,AC-23,A,2020-04-28,80,AC-23A,15.37146429,66.23064849
89,AC-22,A,2020-04-28,190,AC-22A,15.66018048,66.26705978
90,AC-21,A,2020-04-28,200,AC-21A,15.49256311,66.32241149
91,AC-31,A,2020-04-28,150,AC-31A,15.59576559,65.98449828
92,AC-32,A,2020-04-28,240+,AC-32A,15.88210448,66.05188319
93,AC-34,A,2020-04-29,210,AC-34A,16.33018168,66.05549638
94,AC-30,A,2020-04-29,130,AC-30A,16.32392487,66.07345377
95,AC-29,A,2020-04-29,95,AC-29A,16.14107316,66.10983041
96,AC-25,A,2020-04-29,180,AC-25A,15.84925843,66.20434872
97,AC-24,A,2020-04-29,140,AC-24A,15.69390556,66.19086231
98,AC-27,A,2020-05-01,240+,AC-27A,15.71649311,66.07877936
99,AC-43,A,2020-05-09,240+,AC-43A,15.25159463,66.12264974
100,AC-46,A,2020-05-09,190,AC-46A,15.24173924,66.1936143
101,AC-26,A,2020-04-29,150,AC-26A,16.04425364,66.16381694
102,AC-22,A,2021-04-12,140,AC-22A,15.66018048,66.26705978
103,AC-21,A,2021-04-12,60,AC-21A,15.49256311,66.32241149
104,AC-23,A,2021-04-12,100,AC-23A,15.37146429,66.23064849
105,AC-43,A,2021-04-17,170,AC-43A,15.25159463,66.12264974
106,AC-46,A,2021-04-17,45,AC-46A,15.24173924,66.1936143
107,AC-32,A,2021-05-03,145,AC-32A,15.88210448,66.05188319
108,AC-27,A,2021-05-03,160,AC-27A,15.71649311,66.07877936
109,AC-32,A,2021-03-10,NA,AC-32A,15.88210448,66.05188319
110,AC-33,A,2021-03-10,50,AC-33A,16.03670724,66.06518167
111,AC-41,A,2021-03-15,90,AC-41A,16.26443367,65.83598422
112,AC-42,A,2021-03-16,50,AC-42A,15.76098076,65.90840731
113,AC-31,A,2021-03-16,140,AC-31A,15.59576559,65.98449828
114,AC-38,A,2021-03-18,60,AC-38A,16.02861195,65.89659453
115,AC-40,A,2021-03-18,145,AC-40A,16.08976248,65.87227973
116,AC-39,A,2021-03-18,60,AC-39A,15.93640688,65.88145457
117,AC-37,A,2021-03-18,70,AC-37A,15.84881121,65.9380027
118,AC-35,A,2021-03-26,75,AC-35A,16.55332624,65.98731394
119,AC-36,A,2021-03-26,110,AC-36A,16.75175007,65.99519203
120,AC-34,A,2021-03-26,120,AC-34A,16.33018168,66.05549638
121,AC-30,A,2021-03-26,100,AC-30A,16.32392487,66.07345377
122,AC-29,A,2021-03-28,90,AC-29A,16.14107316,66.10983041
123,AC-28,A,2021-03-28,110,AC-28A,15.8491718,66.15323252
124,AC-26,A,2021-04-12,120,AC-26A,16.04425364,66.16381694
125,AC-25,A,2021-04-12,115,AC-25A,15.84925843,66.20434872
126,AC-24,A,2021-04-12,90,AC-24A,15.69390556,66.19086231
127,AC-33,A,2022-01-31,90,AC-33A,16.03670724,66.06518167
128,AC-40,A,2022-02-19,130,AC-40A,16.08976248,65.87227973
129,AC-41,A,2022-02-19,100,AC-41A,16.26443367,65.83598422
130,AC-31,A,2022-03-04,180,AC-31A,15.59576559,65.98449828
131,AC-39,A,2022-03-09,70,AC-39A,15.93640688,65.88145457
132,AC-28,A,2022-03-12,80,AC-28A,15.8491718,66.15323252
133,AC-32,A,2022-03-12,130,AC-32A,15.88210448,66.05188319
134,AC-30,A,2022-03-13,90,AC-30A,16.32392487,66.07345377
135,AC-34,A,2022-03-13,150,AC-34A,16.33018168,66.05549638
136,AC-35,A,2022-03-13,80,AC-35A,16.55332624,65.98731394
137,AC-36,A,2022-03-13,110,AC-36A,16.75175007,65.99519203
138,AC-21,A,2022-03-14,155,AC-21A,15.49256311,66.32241149
139,AC-24,A,2022-03-14,130,AC-24A,15.69390556,66.19086231
140,AC-25,A,2022-03-14,100,AC-25A,15.84925843,66.20434872
141,AC-26,A,2022-03-14,135,AC-26A,16.04425364,66.16381694
142,AC-29,A,2022-03-14,180,AC-29A,16.14107316,66.10983041
143,AC-23,A,2022-03-15,120,AC-23A,15.37146429,66.23064849
144,AC-38,A,2022-03-15,75,AC-38A,16.02861195,65.89659453
145,AC-43,A,2022-03-15,220,AC-43A,15.25159463,66.12264974
146,AC-46,A,2022-03-15,155,AC-46A,15.24173924,66.1936143
147,AC-22,A,2022-03-16,195,AC-22A,15.66018048,66.26705978
148,AC-42,A,2022-03-16,60,AC-42A,15.76098076,65.90840731
149,AC-37,A,2022-04-15,130,AC-37A,15.84881121,65.9380027
150,AC-42,B,2017-02-21,85,AC-42B,15.76104404,65.87253495
151,AC-38,B,2017-02-26,75,AC-38B,16.06601119,65.92904529
152,AC-37,B,2017-02-26,70,AC-37B,15.93669383,65.93795328
153,AC-31,B,2017-02-26,60,AC-31B,15.63274264,66.01705338
154,AC-39,B,2017-03-04,70,AC-39B,16.0215596,65.89003991
155,AC-40,B,2017-03-04,75,AC-40B,16.17741866,65.87209272
156,AC-41,B,2017-03-04,13,AC-41B,16.35196411,65.83569752
157,AC-33,B,2017-03-04,30,AC-33B,16.12502754,66.06502455
158,AC-32,B,2017-03-05,125,AC-32B,15.96743701,66.06109946
159,AC-27,B,2017-03-05,70,AC-27B,15.77325645,66.10627946
160,AC-30,B,2017-03-06,130,AC-30B,16.3475215,66.10802569
161,AC-34,B,2017-03-06,125,AC-34B,16.41726798,66.06140904
162,AC-35,B,2017-03-06,95,AC-35B,16.55437651,66.02318273
163,AC-36,B,2017-03-17,70,AC-36B,16.76838233,66.0304171
164,AC-29,B,2017-03-17,115,AC-29B,16.13381444,66.1455831
165,AC-26,B,2017-03-17,35,AC-26B,16.06001278,66.19911613
166,AC-25,B,2017-03-31,145,AC-25B,15.92210788,66.22488338
167,AC-24,B,2017-03-31,60,AC-24B,15.75089585,66.21837029
168,AC-22,B,2017-03-17,140,AC-22B,15.6976547,66.29959822
169,AC-21,B,2017-03-17,185,AC-21B,15.58142379,66.32569497
170,AC-23,B,2017-04-18,70,AC-23B,15.45909231,66.2246367
171,AC-28,B,2017-04-14,50,AC-28B,15.93648025,66.15941633
172,AC-33,B,2017-04-16,15,AC-33B,16.12502754,66.06502455
173,AC-37,B,2017-04-16,70,AC-37B,15.93669383,65.93795328
174,AC-43,B,2017-04-18,80,AC-43B,15.29647724,66.09173882
175,AC-46,B,2017-04-18,45,AC-46B,15.26675247,66.15918547
176,AC-46,B,2018-03-31,110,AC-46B,15.26675247,66.15918547
177,AC-43,B,2018-03-31,40,AC-43B,15.29647724,66.09173882
178,AC-23,B,2018-03-30,120,AC-23B,15.45909231,66.2246367
179,AC-21,B,2018-03-30,80,AC-21B,15.58142379,66.32569497
180,AC-22,B,2018-03-30,60,AC-22B,15.6976547,66.29959822
181,AC-42,B,2018-03-29,110,AC-42B,15.76104404,65.87253495
182,AC-37,B,2018-03-15,45,AC-37B,15.93669383,65.93795328
183,AC-37,B,2018-04-17,50,AC-37B,15.93669383,65.93795328
184,AC-39,B,2018-03-15,120,AC-39B,16.0215596,65.89003991
185,AC-38,B,2018-03-15,120,AC-38B,16.06601119,65.92904529
186,AC-40,B,2018-03-16,115,AC-40B,16.17741866,65.87209272
187,AC-41,B,2018-03-16,200,AC-41B,16.35196411,65.83569752
188,AC-31,B,2018-03-16,125,AC-31B,15.63274264,66.01705338
189,AC-27,B,2018-03-28,60,AC-27B,15.77325645,66.10627946
190,AC-28,B,2018-03-28,55,AC-28B,15.93648025,66.15941633
191,AC-32,B,2018-03-28,250,AC-32B,15.96743701,66.06109946
192,AC-33,B,2018-03-28,130,AC-33B,16.12502754,66.06502455
193,AC-24,B,2018-03-30,90,AC-24B,15.75089585,66.21837029
194,AC-25,B,2018-04-02,110,AC-25B,15.92210788,66.22488338
195,AC-26,B,2018-04-02,75,AC-26B,16.06001278,66.19911613
196,AC-29,B,2018-04-02,90,AC-29B,16.13381444,66.1455831
197,AC-30,B,2018-03-23,165,AC-30B,16.3475215,66.10802569
198,AC-34,B,2018-03-23,115,AC-34B,16.41726798,66.06140904
199,AC-35,B,2018-03-23,120,AC-35B,16.55437651,66.02318273
200,AC-36,B,2018-03-23,110,AC-36B,16.76838233,66.0304171
201,AC-43,B,2019-04-03,30,AC-43B,15.29647724,66.09173882
202,AC-46,B,2019-04-05,125,AC-46B,15.26675247,66.15918547
203,AC-32,B,2019-03-11,58,AC-32B,15.96743701,66.06109946
204,AC-27,B,2019-03-11,30,AC-27B,15.77325645,66.10627946
205,AC-42,B,2019-03-11,90,AC-42B,15.76104404,65.87253495
206,AC-40,B,2019-03-03,NA,AC-40B,16.17741866,65.87209272
207,AC-39,B,2019-03-03,NA,AC-39B,16.0215596,65.89003991
208,AC-41,B,2019-03-03,NA,AC-41B,16.35196411,65.83569752
209,AC-33,B,2019-03-05,10,AC-33B,16.12502754,66.06502455
210,AC-31,B,2019-03-05,50,AC-31B,15.63274264,66.01705338
211,AC-38,B,2019-03-05,80,AC-38B,16.06601119,65.92904529
212,AC-37,B,2019-03-05,40,AC-37B,15.93669383,65.93795328
213,AC-28,B,2019-03-07,30,AC-28B,15.93648025,66.15941633
214,AC-35,B,2019-03-15,135,AC-35B,16.55437651,66.02318273
215,AC-36,B,2019-03-15,65,AC-36B,16.76838233,66.0304171
216,AC-26,B,2019-03-26,75,AC-26B,16.06001278,66.19911613
217,AC-25,B,2019-03-26,45,AC-25B,15.92210788,66.22488338
218,AC-24,B,2019-03-26,30,AC-24B,15.75089585,66.21837029
219,AC-29,B,2019-03-26,75,AC-29B,16.13381444,66.1455831
220,AC-34,B,2019-03-16,150,AC-34B,16.41726798,66.06140904
221,AC-30,B,2019-03-17,145,AC-30B,16.3475215,66.10802569
222,AC-22,B,2019-04-08,160,AC-22B,15.6976547,66.29959822
223,AC-21,B,2019-04-08,170,AC-21B,15.58142379,66.32569497
224,AC-22,B,2019-04-11,NA,AC-22B,15.6976547,66.29959822
225,AC-29,B,2019-04-11,NA,AC-29B,16.13381444,66.1455831
226,AC-23,B,2019-04-08,185,AC-23B,15.45909231,66.2246367
227,AC-33,B,2020-02-26,90,AC-33B,16.12502754,66.06502455
228,AC-42,B,2020-02-27,130,AC-42B,15.76104404,65.87253495
229,AC-40,B,2020-03-19,125,AC-40B,16.17741866,65.87209272
230,AC-41,B,2020-03-19,210,AC-41B,16.35196411,65.83569752
231,AC-37,B,2020-04-05,120,AC-37B,15.93669383,65.93795328
232,AC-38,B,2020-04-05,130,AC-38B,16.06601119,65.92904529
233,AC-39,B,2020-04-06,170,AC-39B,16.0215596,65.89003991
234,AC-36,B,2020-04-21,90,AC-36B,16.76838233,66.0304171
235,AC-35,B,2020-04-22,160,AC-35B,16.55437651,66.02318273
236,AC-28,B,2020-04-27,60,AC-28B,15.93648025,66.15941633
237,AC-23,B,2020-04-28,125,AC-23B,15.45909231,66.2246367
238,AC-22,B,2020-04-28,240+,AC-22B,15.6976547,66.29959822
239,AC-21,B,2020-04-28,195,AC-21B,15.58142379,66.32569497
240,AC-31,B,2020-04-28,135,AC-31B,15.63274264,66.01705338
241,AC-32,B,2020-04-28,240+,AC-32B,15.96743701,66.06109946
242,AC-34,B,2020-04-29,195,AC-34B,16.41726798,66.06140904
243,AC-30,B,2020-04-29,90,AC-30B,16.3475215,66.10802569
244,AC-29,B,2020-04-29,160,AC-29B,16.13381444,66.1455831
245,AC-25,B,2020-04-29,50,AC-25B,15.92210788,66.22488338
246,AC-24,B,2020-04-29,90,AC-24B,15.75089585,66.21837029
247,AC-27,B,2020-05-01,240+,AC-27B,15.77325645,66.10627946
248,AC-43,B,2020-05-09,85,AC-43B,15.29647724,66.09173882
249,AC-46,B,2020-05-09,170,AC-46B,15.26675247,66.15918547
250,AC-26,B,2020-04-29,85,AC-26B,16.06001278,66.19911613
251,AC-22,B,2021-04-12,185,AC-22B,15.6976547,66.29959822
252,AC-21,B,2021-04-12,100,AC-21B,15.58142379,66.32569497
253,AC-23,B,2021-04-12,145,AC-23B,15.45909231,66.2246367
254,AC-43,B,2021-04-17,95,AC-43B,15.29647724,66.09173882
255,AC-46,B,2021-04-17,90,AC-46B,15.26675247,66.15918547
256,AC-32,B,2021-05-03,130,AC-32B,15.96743701,66.06109946
257,AC-27,B,2021-05-03,75,AC-27B,15.77325645,66.10627946
258,AC-32,B,2021-03-10,240+,AC-32B,15.96743701,66.06109946
259,AC-33,B,2021-03-10,90,AC-33B,16.12502754,66.06502455
260,AC-41,B,2021-03-15,140,AC-41B,16.35196411,65.83569752
261,AC-42,B,2021-03-16,85,AC-42B,15.76104404,65.87253495
262,AC-31,B,2021-03-16,80,AC-31B,15.63274264,66.01705338
263,AC-38,B,2021-03-18,100,AC-38B,16.06601119,65.92904529
264,AC-40,B,2021-03-18,85,AC-40B,16.17741866,65.87209272
265,AC-39,B,2021-03-18,100,AC-39B,16.0215596,65.89003991
266,AC-37,B,2021-03-18,30,AC-37B,15.93669383,65.93795328
267,AC-35,B,2021-03-26,100,AC-35B,16.55437651,66.02318273
268,AC-36,B,2021-03-26,80,AC-36B,16.76838233,66.0304171
269,AC-34,B,2021-03-26,210,AC-34B,16.41726798,66.06140904
270,AC-30,B,2021-03-26,180,AC-30B,16.3475215,66.10802569
271,AC-29,B,2021-03-28,85,AC-29B,16.13381444,66.1455831
272,AC-28,B,2021-03-28,40,AC-28B,15.93648025,66.15941633
273,AC-26,B,2021-04-12,90,AC-26B,16.06001278,66.19911613
274,AC-25,B,2021-04-12,145,AC-25B,15.92210788,66.22488338
275,AC-24,B,2021-04-12,85,AC-24B,15.75089585,66.21837029
276,AC-33,B,2022-01-31,30,AC-33B,16.12502754,66.06502455
277,AC-40,B,2022-02-19,115,AC-40B,16.17741866,65.87209272
278,AC-41,B,2022-02-19,210,AC-41B,16.35196411,65.83569752
279,AC-31,B,2022-03-04,110,AC-31B,15.63274264,66.01705338
280,AC-39,B,2022-03-09,135,AC-39B,16.0215596,65.89003991
281,AC-28,B,2022-03-12,50,AC-28B,15.93648025,66.15941633
282,AC-32,B,2022-03-12,130,AC-32B,15.96743701,66.06109946
283,AC-30,B,2022-03-13,230,AC-30B,16.3475215,66.10802569
284,AC-34,B,2022-03-13,85,AC-34B,16.41726798,66.06140904
285,AC-35,B,2022-03-13,120,AC-35B,16.55437651,66.02318273
286,AC-36,B,2022-03-13,60,AC-36B,16.76838233,66.0304171
287,AC-21,B,2022-03-14,145,AC-21B,15.58142379,66.32569497
288,AC-24,B,2022-03-14,85,AC-24B,15.75089585,66.21837029
289,AC-25,B,2022-03-14,145,AC-25B,15.92210788,66.22488338
290,AC-26,B,2022-03-14,70,AC-26B,16.06001278,66.19911613
291,AC-29,B,2022-03-14,130,AC-29B,16.13381444,66.1455831
292,AC-23,B,2022-03-15,170,AC-23B,15.45909231,66.2246367
293,AC-38,B,2022-03-15,95,AC-38B,16.06601119,65.92904529
294,AC-43,B,2022-03-15,35,AC-43B,15.29647724,66.09173882
