,OG_ID,Triangle,Corner,TriangleCorner,date,SnowDepth,temperature,x_4326,y_4326,x_3006,y_3006
0,1,AC-42,A,AC-42A,2017-02-21,50,-5.0,15.76098076,65.90840731,534661.4522,7309911.059
1,2,AC-38,A,AC-38A,2017-02-26,50,-10.0,16.02861195,65.89659453,546872.4418,7308768.327
2,3,AC-37,A,AC-37A,2017-02-26,45,-8.0,15.84881121,65.9380027,538617.1852,7313260.876
3,4,AC-31,A,AC-31A,2017-02-26,20,-8.0,15.59576559,65.98449828,527055.8412,7318310.67
4,5,AC-39,A,AC-39A,2017-03-04,60,-15.0,15.93640688,65.88145457,542696.2178,7307015.189
5,6,AC-40,A,AC-40A,2017-03-04,82,-9.0,16.08976248,65.87227973,549705.8182,7306105.522
6,7,AC-41,A,AC-41A,2017-03-04,70,-9.0,16.26443367,65.83598422,557753.5181,7302210.037
7,8,AC-33,A,AC-33A,2017-03-04,35,-7.0,16.03670724,66.06518167,546930.7414,7327563.494
8,9,AC-32,A,AC-32A,2017-03-05,135,-14.0,15.88210448,66.05188319,539953.2836,7325974.195
9,10,AC-27,A,AC-27A,2017-03-05,90,-10.0,15.71649311,66.07877936,532418.2506,7328876.351
10,11,AC-30,A,AC-30A,2017-03-06,82,-10.0,16.32392487,66.07345377,559911.9498,7328730.193
11,12,AC-34,A,AC-34A,2017-03-06,145,-10.0,16.33018168,66.05549638,560237.5303,7326734.951
12,13,AC-35,A,AC-35A,2017-03-06,30,-10.0,16.55332624,65.98731394,570529.3876,7319369.401
13,14,AC-36,A,AC-36A,2017-03-17,65,-10.0,16.75175007,65.99519203,579512.604,7320484.624
14,15,AC-29,A,AC-29A,2017-03-17,95,-10.0,16.14107316,66.10983041,551564.2798,7332621.634
15,16,AC-26,A,AC-26A,2017-03-17,105,-15.0,16.04425364,66.16381694,547089.1167,7338562.269
16,17,AC-25,A,AC-25A,2017-03-31,55,-10.0,15.84925843,66.20434872,538235.3079,7342946.922
17,18,AC-24,A,AC-24A,2017-03-31,50,-8.0,15.69390556,66.19086231,531257.926,7341357.54
18,19,AC-22,A,AC-22A,2017-03-17,155,-7.0,15.66018048,66.26705978,529649.2181,7349834.175
19,20,AC-21,A,AC-21A,2017-03-17,60,-5.0,15.49256311,66.32241149,522072.9725,7355934.593
20,21,AC-23,A,AC-23A,2017-04-18,90,-10.0,15.37146429,66.23064849,516707.0051,7345668.731
21,22,AC-28,A,AC-28A,2017-04-14,20,,15.8491718,66.15323252,538308.6585,7337249.602
22,23,AC-33,A,AC-33A,2017-04-16,45,-8.0,16.03670724,66.06518167,546930.7414,7327563.494
23,24,AC-37,A,AC-37A,2017-04-16,70,-10.0,15.84881121,65.9380027,538617.1852,7313260.876
