granule_ID,orbitProp,pathNr,frameNr,date,startTime,measurement_date,measurement_id,measurement_cornerTriangle,measurement_depth,measurement_temperature,nr_of_measurements,polygon
S1A_IW_GRDH_1SDV_20220316T163127_20220316T163152_042349_050C83_C328,ASCENDING,102,213,2022-03-16,2022-03-16T16:31:27.000Z,2022-03-16,"[147, 148, 296, 297, 445, 446]","['AC-22A', 'AC-42A', 'AC-22B', 'AC-42B', 'AC-22C', 'AC-42C']","['195', '60', '190', '100', '240', '125']","[-2.0, nan, -2.0, nan, -2.0, nan]",6,"[[11.682292, 66.231438], [12.608379, 64.762672], [18.141594, 65.239021], [17.533054, 66.723877], [11.682292, 66.231438]]"
S1A_IW_GRDH_1SDV_20220314T052944_20220314T053009_042313_050B38_4F30,DESCENDING,66,369,2022-03-14,2022-03-14T05:29:44.000Z,2022-03-14,"[138, 139, 140, 141, 142, 287, 288, 289, 290, 291, 436, 437, 438, 439, 440]","['AC-21A', 'AC-24A', 'AC-25A', 'AC-26A', 'AC-29A', 'AC-21B', 'AC-24B', 'AC-25B', 'AC-26B', 'AC-29B', 'AC-21C', 'AC-24C', 'AC-25C', 'AC-26C', 'AC-29C']","['155', '130', '100', '135', '180', '145', '85', '145', '70', '130', '165', '195', '190', '70', '50']","[-1.0, -2.0, -2.0, -6.0, -8.4, -1.0, -2.0, -2.0, -6.0, -8.4, -1.0, -2.0, -2.0, -6.0, -8.4]",15,"[[18.198183, 65.859291], [19.165989, 67.327438], [13.047935, 67.832268], [12.429095, 66.346886], [18.198183, 65.859291]]"
S1A_IW_GRDH_1SDV_20220309T052156_20220309T052221_042240_0508CF_E9A2,DESCENDING,168,374,2022-03-09,2022-03-09T05:21:56.000Z,2022-03-09,"[131, 280, 429]","['AC-39A', 'AC-39B', 'AC-39C']","['70', '135', '40']","[-7.0, -7.0, -7.0]",3,"[[19.341476, 64.328835], [20.229801, 65.800125], [14.475887, 66.287392], [13.894494, 64.8013], [19.341476, 64.328835]]"
S1A_IW_GRDH_1SDV_20220304T163127_20220304T163152_042174_05068B_AA51,ASCENDING,102,213,2022-03-04,2022-03-04T16:31:27.000Z,2022-03-04,"[130, 279, 428]","['AC-31A', 'AC-31B', 'AC-31C']","['180', '110', '70']","[-11.5, -11.5, -11.5]",3,"[[11.680801, 66.231178], [12.606831, 64.762505], [18.140415, 65.238922], [17.53194, 66.723694], [11.680801, 66.231178]]"
S1A_IW_GRDH_1SDV_20210503T162312_20210503T162337_037726_0473C7_BCAA,ASCENDING,29,213,2021-05-03,2021-05-03T16:23:12.000Z,2021-05-03,"[107, 108, 256, 257, 405, 406]","['AC-32A', 'AC-27A', 'AC-32B', 'AC-27B', 'AC-32C', 'AC-27C']","['145', '160', '130', '75', '240+', '240']","[-8.0, -8.0, -8.0, -8.0, -8.0, -8.0]",6,"[[13.677479, 66.352348], [14.597651, 64.882545], [20.155251, 65.359955], [19.556454, 66.845581], [13.677479, 66.352348]]"
S1A_IW_GRDH_1SDV_20210417T053802_20210417T053827_037486_046B5D_1A6A,DESCENDING,139,371,2021-04-17,2021-04-17T05:38:02.000Z,2021-04-17,"[105, 106, 254, 255, 403, 404]","['AC-43A', 'AC-46A', 'AC-43B', 'AC-46B', 'AC-43C', 'AC-46C']","['170', '45', '95', '90', '100', '80']","[-8.0, -6.0, -8.0, -6.0, -8.0, -6.0]",6,"[[15.795874, 65.33107], [16.740944, 66.79966], [10.776885, 67.296143], [10.163994, 65.810989], [15.795874, 65.33107]]"
S1A_IW_GRDH_1SDV_20210412T052939_20210412T053004_037413_0468E0_103B,DESCENDING,66,369,2021-04-12,2021-04-12T05:29:39.000Z,2021-04-12,"[102, 103, 104, 124, 125, 126, 251, 252, 253, 273, 274, 275, 400, 401, 402, 422, 423, 424]","['AC-22A', 'AC-21A', 'AC-23A', 'AC-26A', 'AC-25A', 'AC-24A', 'AC-22B', 'AC-21B', 'AC-23B', 'AC-26B', 'AC-25B', 'AC-24B', 'AC-22C', 'AC-21C', 'AC-23C', 'AC-26C', 'AC-25C', 'AC-24C']","['140', '60', '100', '120', '115', '90', '185', '100', '145', '90', '145', '85', '140', '90', '45', '75', '150', '35']","[-5.0, -5.0, -5.0, -11.0, nan, -10.0, -5.0, -5.0, -5.0, -11.0, nan, -10.0, -5.0, -5.0, -5.0, -11.0, nan, -10.0]",18,"[[18.182022, 65.860832], [19.148928, 67.329094], [13.050303, 67.832016], [12.431291, 66.346588], [18.182022, 65.860832]]"
S1A_IW_GRDH_1SDV_20210328T162310_20210328T162335_037201_046194_2E24,ASCENDING,29,213,2021-03-28,2021-03-28T16:23:10.000Z,2021-03-28,"[122, 123, 271, 272, 420, 421]","['AC-29A', 'AC-28A', 'AC-29B', 'AC-28B', 'AC-29C', 'AC-28C']","['90', '110', '85', '40', '90', '30']","[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",6,"[[13.677514, 66.352112], [14.597516, 64.882294], [20.155293, 65.359665], [19.556677, 66.845314], [13.677514, 66.352112]]"
S1A_IW_GRDH_1SDV_20210326T052151_20210326T052216_037165_04604D_766E,DESCENDING,168,374,2021-03-26,2021-03-26T05:21:51.000Z,2021-03-26,"[118, 119, 120, 121, 267, 268, 269, 270, 416, 417, 418, 419]","['AC-35A', 'AC-36A', 'AC-34A', 'AC-30A', 'AC-35B', 'AC-36B', 'AC-34B', 'AC-30B', 'AC-35C', 'AC-36C', 'AC-34C', 'AC-30C']","['75', '110', '120', '100', '100', '80', '210', '180', '90', '125', '30', '50']","[-8.0, -8.0, -6.0, -6.0, -8.0, -8.0, -6.0, -6.0, -8.0, -8.0, -6.0, -6.0]",12,"[[19.324615, 64.330368], [20.211992, 65.801804], [14.476119, 66.287178], [13.894757, 64.80101], [19.324615, 64.330368]]"
S1B_IW_GRDH_1SDV_20210318T053711_20210318T053736_026065_031C24_CA5A,DESCENDING,139,369,2021-03-18,2021-03-18T05:37:11.000Z,2021-03-18,"[114, 115, 116, 117, 263, 264, 265, 266, 412, 413, 414, 415]","['AC-38A', 'AC-40A', 'AC-39A', 'AC-37A', 'AC-38B', 'AC-40B', 'AC-39B', 'AC-37B', 'AC-38C', 'AC-40C', 'AC-39C', 'AC-37C']","['60', '145', '60', '70', '100', '85', '100', '30', '85', '160', '80', '25']","[-10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0]",12,"[[16.145546, 65.823967], [17.134815, 67.289757], [10.987551, 67.798492], [10.347573, 66.314545], [16.145546, 65.823967]]"
