ID,ERA5_time,era5_l_lai_hv,era5_l_lai_lv,era5_l_skt,era5_l_rsn,era5_l_sde,era5_l_sd,era5_l_tsn,tp
0,2017-02-21T13,4.8745975,1.0246403,258.5253,302.52924,1.161132,0.35116324,259.53018,9.102839e-06
1,2017-02-26T13,4.0443025,0.76854926,261.6544,283.75626,1.0879211,0.30900425,260.2779,3.920877e-05
2,2017-02-26T13,4.8745975,1.0246403,259.9618,291.7034,1.2304444,0.35887495,258.43942,3.6409216e-05
3,2017-02-26T13,4.987414,1.1117076,258.2794,304.33444,1.458997,0.44408667,256.6773,2.870718e-05
4,2017-03-04T13,4.5052557,0.91920185,256.55035,271.93167,1.3027302,0.35463604,256.5983,9.186317e-11
5,2017-03-04T13,3.7430775,0.6583224,259.0502,261.01505,1.1826063,0.30869782,257.91446,7.0044644e-07
6,2017-03-04T13,3.766724,0.87730277,259.8202,248.96082,1.1045059,0.27488893,258.33826,7.0044644e-07
7,2017-03-04T13,4.71548,0.98412246,254.81197,281.3903,1.4218631,0.40052322,255.38643,9.186317e-11
8,2017-03-05T13,4.9377565,0.8792826,253.339,288.798,1.4697012,0.42447546,252.79402,7.001775e-06
9,2017-03-05T13,4.9241023,0.7094762,253.91733,300.88962,1.5439693,0.46474484,253.24931,8.402484e-06
10,2017-03-06T13,4.8658257,0.6663799,252.20609,270.6659,1.329094,0.35981974,251.0523,7.0044644e-07
11,2017-03-06T13,4.8658257,0.6663799,252.20609,270.6659,1.329094,0.35981974,251.0523,7.0044644e-07
12,2017-03-06T13,3.8261452,0.8686467,256.1959,248.03685,1.1191084,0.2782085,253.5413,7.0044644e-07
13,2017-03-17T13,3.9730582,0.85801077,272.01343,267.70175,1.0175515,0.27230984,269.66232,0.0002863706
14,2017-03-17T13,4.6675005,0.8843934,270.5091,291.15863,1.4101678,0.41091615,268.5414,0.0004110002
15,2017-03-17T13,4.6380568,0.60643196,270.13852,299.3835,1.5458854,0.46290627,268.40652,0.0005069246
16,2017-03-31T13,3.6542127,0.49427128,262.24374,318.56772,1.7509815,0.5579491,259.7161,7.0044644e-07
17,2017-03-31T13,3.569696,0.46006143,262.87634,321.34494,1.8163955,0.5838676,260.16916,7.0044644e-07
18,2017-03-17T13,7.567342e-09,0.75901836,269.88074,310.47638,1.84864,0.5741386,267.75244,0.000802396
19,2017-03-17T13,1.0232803,0.7380228,270.18515,316.89606,1.9609671,0.62130255,268.28937,0.00097253744
20,2017-04-18T13,4.220812,0.67370075,264.90643,354.24976,2.0556524,0.72834706,261.03848,3.500002e-06
21,2017-04-14T13,3.6542127,0.49427128,263.9516,334.37656,1.7822349,0.59589475,262.7629,0.00028076777
