ID,ERA5_time,t2m,rsn,sd
0,2017-02-21T10,260.74536,286.32812,0.25258923
1,2017-02-26T08,258.74377,262.6875,0.23156738
2,2017-02-26T11,263.69733,271.4375,0.25866985
3,2017-02-26T13,265.0475,286.02344,0.3020029
4,2017-03-04T09,260.33405,243.66405,0.21954536
5,2017-03-04T11,262.57568,207.49998,0.14423943
6,2017-03-04T12,265.33105,200.22655,0.13568401
7,2017-03-04T14,264.61768,244.04686,0.22111607
8,2017-03-05T10,256.41153,245.31248,0.21681976
9,2017-03-05T12,261.7555,258.70312,0.2367382
10,2017-03-06T10,260.05664,221.60155,0.16244411
11,2017-03-06T11,261.46716,221.64842,0.16244793
12,2017-03-06T12,262.82373,213.28905,0.15129662
13,2017-03-17T14,274.17175,230.49998,0.13861561
14,2017-03-17T11,273.25452,239.08592,0.1724968
15,2017-03-17T07,270.7379,279.89062,0.32116032
16,2017-03-31T08,264.33203,301.96875,0.3878765
17,2017-03-31T10,267.1411,302.17188,0.38817787
18,2017-03-17T11,272.41272,284.34375,0.34397888
19,2017-03-17T13,272.474,288.28906,0.36819172
20,2017-04-18T08,266.1985,329.875,0.41579056
21,2017-04-14T12,265.07983,318.02344,0.40106106
22,2017-04-16T09,266.49133,299.0,0.28521633
23,2017-04-16T06,262.92548,303.0547,0.30612087
24,2017-04-18T12,269.86877,329.9453,0.40900326
25,2018-03-31T10,267.7024,247.53905,0.2563429
26,2018-03-31T08,264.4519,258.53906,0.30726814
27,2018-03-30T09,267.97424,244.21873,0.2515993
28,2018-03-30T10,268.646,260.01562,0.29031754
29,2018-03-30T12,269.33875,273.4453,0.3339672
30,2018-03-29T11,267.19263,276.0,0.35393524
31,2018-03-15T12,261.95703,263.82812,0.2991438
32,2018-04-17T11,281.16406,326.15625,0.37649536
33,2018-03-15T11,260.3833,271.39062,0.35237217
34,2018-03-15T10,258.43695,271.32812,0.35237122
35,2018-03-16T11,263.2229,269.6328,0.33922005
36,2018-03-16T10,261.18085,272.54688,0.3528223
37,2018-03-16T13,262.1814,255.41405,0.2654667
38,2018-03-28T13,268.58496,272.90625,0.35671902
39,2018-03-28T10,267.9193,266.78125,0.33466053
40,2018-03-28T14,268.5337,286.0078,0.3985281
41,2018-03-28T08,265.7682,285.0703,0.39909363
42,2018-03-30T14,269.22046,273.75,0.33397007
43,2018-04-02T15,267.55127,282.96875,0.34623623
44,2018-04-02T13,267.82007,295.39844,0.39064407
45,2018-04-02T12,269.54395,303.39844,0.41545677
46,2018-03-23T13,267.35498,289.20312,0.37576008
47,2018-03-23T11,266.0183,289.0,0.37575722
48,2018-03-23T09,263.9319,289.6875,0.36842155
49,2018-03-23T08,262.52588,288.10938,0.35380077
50,2019-04-03T08,270.7838,240.03905,0.2260313
51,2019-04-05T08,267.98694,270.4453,0.29547215
52,2019-03-11T08,256.99207,200.30467,0.15765858
53,2019-03-11T10,259.1853,202.60936,0.15742111
54,2019-03-11T13,262.70618,202.91405,0.15741825
