backs,ERA5
1.793730021,0.992187977
2.13383007,1.024410009
1.75672996,1.306640029
1.722300053,1.595700026
1.970810056,1.681640029
1.978559971,1.553709984
2.093100071,1.484380007
2.02421999,1.351559997
1.893190026,1.413089991
1.864750028,1.541990042
2.030390024,1.035159945
1.824890018,0.992187977
1.967139959,1.024410009
1.897179961,1.306640029
2.028290033,1.595700026
2.017669916,1.681640029
2.354039907,1.484380007
2.032749891,1.351559997
2.000400066,1.413089991
1.897670031,1.397459984
1.815009952,1.284180045
2.111629963,1.111330032
1.828310013,1.143550038
2.058480024,1.427729964
2.00425005,1.740229964
1.852049947,1.747069955
1.974619985,1.698240042
1.937749982,1.729490042
1.963199973,1.800780058
1.963320017,1.727540016
1.966699958,1.595700026
2.19265008,1.982419968
2.39921999,1.888669968
2.003550053,1.658200026
2.093899965,1.580080032
1.942800045,1.43848002
1.929890037,1.566409945
2.054369926,1.78026998
1.869079947,1.862300038
1.873340011,1.962890029
2.100260019,2.0302701
1.929769993,2.152339935
1.986269951,2.251950026
1.818120003,2.208980083
1.916880012,2.019530058
2.10668993,2.044919968
2.015280008,1.982419968
1.976840019,1.888669968
2.147550106,1.658200026
2.027940035,1.580080032
2.057670116,1.43848002
1.791939974,1.566409945
1.920740008,1.78026998
1.935469985,1.862300038
1.764479995,1.962890029
2.001140118,2.0302701
1.947000027,2.152339935
1.941619992,2.251950026
1.851369977,2.208980083
1.763550043,2.019530058
2.114140034,2.4052701
2.315710068,2.259769917
2.201499939,2.021480083
1.975790024,1.87598002
1.951889992,1.784180045
2.195539951,1.735350013
1.68888998,1.632809997
2.182990074,1.599609971
1.955139995,1.612300038
1.967010021,1.695309997
1.901219964,1.924800038
2.100509882,2.110349894
2.05437994,2.211910009
1.746230006,2.167969942
1.89515996,1.796880007
1.643569946,1.760740042
2.286070108,2.584959984
2.026449919,2.38086009
1.876139998,2.228519917
1.915989995,1.963870049
1.851099968,1.849609971
1.962990046,1.722659945
2.165479898,1.617190003
2.077349901,1.473629951
2.04102993,1.446290016
1.904160023,1.539059997
1.99447,1.638669968
1.913879991,1.819339991
1.976379991,1.90625
1.995710015,1.997069955
1.824149966,2.022459984
1.69904995,2.010740042
1.715139985,1.980469942
1.999570012,2.565429926
1.615450025,2.584959984
2.271719933,2.38086009
1.823449969,2.228519917
1.950090051,1.963870049
1.725319982,1.758790016
1.938330054,1.722659945
1.992529988,1.649410009
2.060689926,1.617190003
1.744160056,1.527340055
1.757169962,1.451169968
1.921519995,1.446290016
2.201299906,1.539059997
1.991999984,1.638669968
1.637840033,1.819339991
2.055510044,1.955080032
1.983770013,1.997069955
1.842650056,2.022459984
1.758530021,2.010740042
1.852810025,1.980469942
2.080719948,2.001950026
1.971410036,2.070310116
2.13338995,2.565429926
1.954660058,2.021480083
1.74770999,1.691409945
1.761630058,1.634770036
1.749780059,1.566409945
1.784800053,1.454100013
1.637349963,1.360350013
2.111670017,1.365229964
1.849069953,1.430660009
1.991840005,1.537109971
1.61590004,1.722659945
2.131289959,1.845700026
1.903239965,1.891600013
1.905189991,1.958979964
1.410490036,1.961910009
1.671630025,2.148439884
2.145050049,2.238280058
1.962970018,2.166990042
1.945940018,2.4052701
2.2181499,2.338870049
2.066770077,2.2509799
1.814880013,2.0322299
1.812229991,1.819339991
1.931489944,1.739259958
1.870609999,1.722659945
1.979740024,1.458979964
1.969460011,1.417969942
1.936810017,1.46875
1.903669953,1.541990042
1.817309976,1.661129951
1.830160022,1.891600013
1.76165998,1.961910009
1.937000036,2.148439884
2.030679941,2.238280058
1.649489999,1.902340055
1.973510027,2.4052701
2.406409979,2.459959984
2.235869884,2.338870049
2.731430054,2.140619993
1.689530015,1.819339991
1.905470014,1.739259958
2.175070047,1.722659945
2.077630043,1.581050038
2.014189959,1.458979964
2.1171,1.417969942
1.72747004,1.541990042
1.835309982,1.661129951
1.84995997,1.773440003
1.839859962,1.902340055
1.635699987,1.983399987
2.054440022,2.163089991
1.961369991,2.1552701
1.497449994,2.086910009
1.752220035,1.989259958
1.621379972,1.971680045
2.228460073,2.327150106
2.297729969,2.03711009
1.878589988,1.894530058
2.046829939,1.832030058
2.298949957,1.806640029
2.052880049,1.690430045
2.017829895,1.541990042
1.933959961,1.461910009
2.401070118,1.490229964
1.987179995,1.540040016
1.930230021,1.645509958
1.90613997,1.793949962
1.587960005,1.880859971
2.002439976,2.064450026
1.761669993,2.0634799
1.647889972,2.101560116
1.715059996,2.1884799
1.749909997,2.21288991
2.686300039,2.15038991
2.069819927,2.180660009
2.082999945,2.178709984
2.582439899,2.113280058
1.900589943,1.953119993
2.178519964,1.926759958
2.076440096,1.887699962
2.106729984,1.752930045
1.986359954,1.690430045
1.951290011,1.541990042
2.047660112,1.461910009
1.79152,1.475589991
1.729339957,1.490229964
1.918799996,1.540040016
1.96499002,1.605469942
1.916339993,1.645509958
1.919999957,1.880859971
1.63451004,2.064450026
1.768409967,2.0634799
1.70096004,2.101560116
1.874670029,2.1884799
1.629349947,2.21288991
1.905689955,2.028320074
2.457760096,2.074219942
2.662810087,2.15038991
1.069509983,2.178709984
2.379019976,2.113280058
1.971639991,2.052730083
2.097219944,1.953119993
2.090990067,1.926759958
1.956879973,1.887699962
2.213829994,1.817379951
2.100209951,1.74901998
2.12699008,1.605469942
2.013829947,1.53223002
1.876510024,1.463870049
1.841860056,1.463870049
1.738019943,1.527340055
1.769459963,1.584959984
1.813130021,1.732419968
1.856410027,1.817379951
1.774049997,1.971680045
1.808210015,2.047849894
1.738839984,2.174799919
1.925359964,2.266599894
1.748939991,2.28125
2.489429951,1.953119993
2.001790047,1.976559997
2.032939911,2.00586009
1.853739977,2.010740042
2.050169945,1.984380007
1.854230046,1.983399987
1.876459956,1.988280058
1.98672998,1.976559997
1.972360015,1.878909945
2.315429926,1.819339991
2.071059942,1.677729964
2.014400005,1.622069955
1.862010002,1.533200026
1.980049968,1.523440003
1.963799953,1.505859971
1.866559982,1.520509958
2.009140015,1.595700026
1.925029993,1.75098002
1.85552001,1.831050038
1.850419998,1.990229964
1.764170051,2.070310116
1.777240038,2.199219942
1.642379999,2.331049919
1.903339982,2.399410009
2.328969955,1.784180045
1.942680001,1.809569955
2.107389927,1.849609971
2.14508009,1.849609971
2.106899977,1.875
2.223929882,1.965819955
2.036829948,1.983399987
2.147079945,1.982419968
2.018209934,1.976559997
1.882099986,1.878909945
2.124769926,1.819339991
2.10206008,1.677729964
1.899970055,1.622069955
2.015300035,1.533200026
1.989670038,1.523440003
1.523890018,1.505859971
1.754819989,1.520509958
1.984740019,1.831050038
2.047179937,1.990229964
1.620499969,2.070310116
1.456349969,2.199219942
1.525949955,2.331049919
