ERA5,BS_cub,BS_near,
2.138669968,2.125390053,2.154979944,
2.176759958,2.041690111,2.034980059,
2.228519917,1.738989949,1.749340057,
2.232419968,1.98763001,1.993059993,
2.184570074,2.10529995,2.108880043,
2.151370049,1.969040036,1.96776998,
2.026370049,2.228849888,2.207809925,
2.066410065,1.965800047,1.951670051,
2.065429926,1.778079987,1.738209963,
2.050780058,1.954640031,1.98506999,
2.02538991,2.077500105,2.200299978,
1.822270036,2.457010031,2.485450029,
1.865229964,2.18659997,2.186719894,
1.900390029,1.746770024,1.764539957,
1.910159945,1.812100053,1.809149981,
2.050780058,2.053459883,2.096159935,
2.0009799,2.132639885,2.129509926,
1.822270036,2.143949986,2.146830082,
1.885740042,1.913660049,1.909600019,
1.900390029,1.864490032,1.767689943,
1.902340055,1.915519953,1.953789949,
1.90625,1.953699946,1.867149949,
1.9375,1.69698,1.631690025,
1.793949962,2.182159901,2.209209919,
1.863280058,2.176019907,2.180119991,
1.885740042,2.12883997,2.125,
1.930660009,2.010230064,2.023299932,
1.959959984,2.015929937,2.028670073,
2.048830032,2.418790102,2.414530039,
1.863280058,2.186019897,2.204390049,
1.885740042,1.889770031,1.902060032,
1.930660009,2.0255301,2.013050079,
1.959959984,2.307229996,2.20133996,
2.048830032,2.278429985,2.297060013,
1.903319955,2.408930063,2.40970993,
1.963870049,2.138279915,2.152610064,
2.075200081,2.650000095,2.628129959,
2.126950026,2.344619989,2.337830067,
2.228519917,2.356630087,2.357520103,
1.948240042,2.182699919,2.190560102,
2.041019917,2.059849977,2.041429996,
2.202150106,2.039789915,2.063149929,
2.279299974,2.268970013,2.2411201,
1.948240042,2.365499973,2.423110008,
2.041019917,1.862750053,1.861310005,
2.202150106,1.971680045,1.912240028,
2.279299974,1.900939941,1.931380033,
2.033200026,2.17918992,2.235249996,
1.990229964,2.019690037,2.018249989,
1.947270036,2.322710037,2.33716011,
1.923830032,2.073940039,2.068010092,
1.852540016,2.066109896,2.047169924,
1.785159945,1.960729957,1.965800047,
1.642580032,2.085799932,2.112129927,
1.506839991,2.138030052,2.137880087,
1.505859971,1.869889975,1.859940052,
2.008790016,1.815670013,1.803470016,
2.015619993,1.92343998,1.914510012,
2.012700081,1.976519942,2.066009998,
2.006839991,2.068540096,2.046950102,
1.910159945,2.055860043,2.026619911,
1.783200026,1.980559945,1.952119946,
1.714840055,2.084840059,2.1057899,
1.611330032,2.067130089,2.01079011,
1.575199962,1.924070001,1.915249944,
2.008790016,1.959669948,1.957690001,
2.019530058,1.970530033,1.966670036,
2.012700081,2.798820019,3.272500038,
1.960940003,1.877570033,1.868549943,
1.910159945,1.923230052,1.912099957,
1.783200026,2.151119947,2.151230097,
1.714840055,8.279569626,8.603859901,
1.611330032,2.174279928,2.173460007,
1.575199962,1.907789946,1.930490017,
1.984380007,2.18204999,2.219409943,
2.089839935,2.275670052,2.267980099,
2.110349894,2.452929974,2.997270107,
2.112299919,2.120179892,1.941740036,
2.044919968,1.470129967,1.372849941,
1.897459984,1.903849959,1.903920054,
1.820309997,2.490849972,2.501270056,
1.706050038,2.019959927,2.039949894,
1.667969942,1.941460013,2.002959967,
2.111330032,2.018620014,2.017240047,
2.2177701,2.45559001,2.451610088,
2.263669968,2.304120064,2.294090033,
2.232419968,2.098750114,2.095609903,
2.182620049,1.868049979,1.839550018,
