backs,ERA5
2.564919949,0.992187977
1.122230053,1.024410009
1.692270041,1.306640029
1.923349977,1.595700026
1.879490018,1.681640029
1.429090023,1.553709984
1.88696003,1.484380007
1.52681005,1.351559997
1.792880058,1.413089991
2.293629885,1.541990042
1.224339962,1.035159945
1.518630028,0.992187977
4.111670017,1.024410009
2.183599949,1.306640029
2.351150036,1.595700026
1.433189988,1.681640029
1.292170048,1.553709984
1.41802001,1.484380007
1.615399957,1.351559997
1.706650019,1.413089991
1.764389992,1.397459984
6.046070099,1.615229964
2.144129992,1.541990042
2.00793004,1.284180045
1.757150054,1.111330032
2.03937006,1.143550038
2.526410103,1.427729964
2.206039906,1.740229964
1.863639951,1.747069955
2.041150093,1.698240042
1.395110011,1.729490042
1.551200032,1.800780058
1.70302999,1.727540016
1.325530052,1.595700026
3.197799921,1.982419968
1.838359952,1.888669968
1.624070048,1.658200026
2.402909994,1.580080032
2.040159941,1.43848002
1.457450032,1.566409945
1.477460027,1.78026998
1.679080009,1.862300038
1.835610032,1.892580032
2.416739941,1.962890029
1.940289974,2.0302701
1.593279958,2.152339935
1.745020032,2.251950026
2.436199903,2.208980083
1.389899969,2.019530058
1.389109969,2.044919968
2.073849916,1.982419968
2.189290047,1.888669968
1.96085,1.658200026
2.524669886,1.580080032
1.95915997,1.43848002
1.922219992,1.566409945
2.605530024,1.78026998
2.23187995,1.862300038
1.719599962,1.892580032
2.271749973,1.962890029
1.679739952,2.0302701
1.885200024,2.152339935
2.42888999,2.251950026
2.643670082,2.208980083
2.151750088,2.019530058
2.270689964,2.4052701
1.708299994,2.259769917
1.016029954,2.021480083
3.136840105,1.934569955
1.658049941,1.87598002
2.085500002,1.784180045
1.685009956,1.735350013
1.778059959,1.632809997
1.826990008,1.599609971
1.671390057,1.612300038
1.600690007,1.695309997
3.368590117,1.766600013
2.379810095,1.924800038
1.813740015,1.998049974
1.634500027,2.110349894
1.547909975,2.211910009
1.573429942,2.167969942
1.28283,1.796880007
1.923930049,1.760740042
2.3427701,2.584959984
1.182060003,2.38086009
1.69659996,2.228519917
2.241100073,1.963870049
1.838160038,1.849609971
1.823109984,1.722659945
8.525420189,1.649410009
2.030709982,1.617190003
1.900169969,1.527340055
2.274379969,1.473629951
1.901759982,1.446290016
1.904000044,1.539059997
1.991860032,1.638669968
2.583689928,1.819339991
1.393139958,1.90625
1.783110023,1.997069955
2.385050058,2.022459984
1.705919981,2.010740042
1.634109974,1.980469942
1.807469964,2.001950026
1.843659997,2.565429926
1.506309986,2.584959984
2.480859995,2.38086009
1.249840021,2.228519917
1.969290018,1.963870049
1.853970051,1.758790016
2.571739912,1.722659945
2.955049992,1.649410009
2.511650085,1.617190003
1.925750017,1.527340055
1.923329949,1.451169968
2.339339972,1.446290016
2.218539953,1.539059997
2.455820084,1.638669968
1.211509943,1.819339991
1.820170045,1.955080032
2.15109992,1.997069955
1.65515995,2.022459984
1.752949953,2.010740042
1.880180001,1.980469942
1.858440042,2.001950026
3.928030014,2.070310116
1.345739961,2.666990042
1.59059,2.565429926
2.015860081,2.527339935
-2.096709967,2.355469942
1.622130036,2.252929926
1.885779977,2.021480083
1.885249972,1.691409945
1.715800047,1.636719942
2.362620115,1.634770036
2.429990053,1.566409945
2.557440042,1.454100013
2.202339888,1.360350013
2.020299911,1.365229964
1.698210001,1.430660009
1.864549994,1.537109971
1.457069993,1.722659945
1.691159964,1.845700026
1.898159981,1.891600013
1.914549947,1.958979964
1.581859946,1.961910009
1.843299985,2.148439884
2.748110056,2.238280058
3.106129885,2.166990042
1.404469967,1.902340055
3.996069908,2.401370049
1.57565999,2.4052701
1.015939951,2.420900106
-1.530089974,2.459959984
3.456449986,2.338870049
2.094830036,2.2509799
1.914229989,2.0322299
1.987540007,1.819339991
2.220750093,1.739259958
2.178200006,1.722659945
1.833889961,1.694339991
1.55874002,1.581050038
1.81803,1.458979964
2.650399923,1.417969942
2.137470007,1.46875
1.924010038,1.541990042
2.666270018,1.661129951
1.689880013,1.845700026
1.715739965,1.891600013
2.534339905,1.958979964
1.782879949,1.961910009
2.266760111,2.148439884
1.61887002,2.238280058
3.182739973,2.166990042
1.826329947,1.902340055
2.860409975,2.401370049
1.621829987,2.4052701
-2.840549946,2.420900106
2.441390038,2.459959984
1.895789981,2.338870049
1.888319969,2.140619993
-4.433390141,2.0322299
2.033910036,1.819339991
1.989500046,1.739259958
2.456749916,1.722659945
1.73608005,1.694339991
1.799550056,1.581050038
2.282939911,1.458979964
2.586210012,1.417969942
2.109230042,1.541990042
2.095510006,1.661129951
1.673400044,1.727540016
1.915410042,1.773440003
1.871250033,1.902340055
1.774260044,1.983399987
2.650170088,2.163089991
2.147259951,2.1552701
2.372600079,2.086910009
1.836549997,1.989259958
1.73901999,1.971680045
-2.268610001,2.172849894
1.747789979,2.222660065
0.88578397,2.30663991
2.09510994,2.327150106
1.274919987,2.296880007
1.639829993,2.165040016
1.971940041,2.03711009
2.121479988,1.894530058
2.500780106,1.832030058
1.785640001,1.806640029
1.731080055,1.690430045
1.846379995,1.541990042
2.207400084,1.461910009
2.024189949,1.475589991
2.473150015,1.490229964
2.752059937,1.540040016
2.497720003,1.605469942
2.000720024,1.645509958
1.957190037,1.793949962
2.502399921,1.880859971
2.730659962,2.064450026
1.63538003,2.0634799
1.884199977,2.101560116
1.692450047,2.1884799
1.610769987,2.21288991
1.753119946,2.028320074
-2.290339947,2.074219942
2.309659958,2.15038991
1.810680032,2.180660009
1.783110023,2.178709984
2.915529966,2.113280058
1.786350012,2.052730083
1.859599948,1.953119993
2.681790113,1.926759958
2.403800011,1.887699962
1.764989972,1.752930045
1.972110033,1.690430045
2.770539999,1.541990042
3.918040037,1.461910009
1.791039944,1.475589991
3.456099987,1.490229964
2.108659983,1.540040016
6.05092001,1.605469942
1.93682003,1.645509958
1.651370049,1.793949962
1.536739945,1.880859971
2.387249947,2.064450026
1.361019969,2.0634799
1.63530004,2.101560116
1.898370028,2.1884799
1.953529954,2.21288991
1.654119968,2.028320074
2.104229927,2.074219942
4.133860111,2.15038991
3.71987009,2.180660009
0.718454003,2.178709984
2.233520031,2.113280058
1.903049946,2.052730083
2.502909899,1.953119993
2.144390106,1.926759958
2.004070044,1.887699962
1.932669997,1.817379951
2.390929937,1.74901998
3.146950006,1.605469942
2.593369961,1.53223002
2.172209978,1.463870049
2.259190083,1.463870049
4.785210133,1.483399987
1.728219986,1.527340055
1.857920051,1.584959984
2.305219889,1.732419968
1.756340027,1.817379951
1.838479996,1.971680045
1.974470019,2.047849894
2.100719929,2.174799919
1.411049962,2.266599894
1.953940034,2.28125
2.596689939,1.953119993
1.424759984,1.976559997
2.103660107,2.00586009
1.840960026,2.010740042
2.747479916,1.984380007
1.487259984,1.965819955
2.004800081,1.983399987
2.174629927,1.988280058
2.187589884,1.976559997
2.639569998,1.878909945
6.405529976,1.819339991
1.970589995,1.677729964
2.08694005,1.622069955
2.62383008,1.533200026
2.344419956,1.523440003
1.91952002,1.505859971
2.388940096,1.520509958
2.35194993,1.595700026
2.294640064,1.75098002
1.878990054,1.831050038
2.092979908,1.990229964
1.92324996,2.070310116
1.459859967,2.199219942
2.013200045,2.331049919
2.292030096,2.399410009
2.847120047,1.784180045
1.370460033,1.809569955
1.447059989,1.849609971
1.868970037,1.849609971
2.676189899,1.875
2.567409992,1.965819955
2.070879936,1.983399987
1.893710017,1.982419968
2.655699968,1.976559997
1.97281003,1.878909945
2.750459909,1.819339991
1.700469971,1.677729964
2.381560087,1.622069955
2.211859941,1.533200026
2.018239975,1.523440003
1.306110024,1.505859971
2.657020092,1.520509958
3.592600107,1.595700026
1.268300056,1.75098002
2.404680014,1.831050038
2.387680054,1.990229964
2.00951004,2.070310116
1.494680047,2.199219942
2.149490118,2.331049919
1.487969995,2.399410009
2.156780005,2.4072299
1.981389999,1.784180045
2.085170031,1.809569955
1.960980058,1.849609971
4.230020046,1.849609971
1.962960005,1.875
2.012840033,1.901370049
1.740350008,2.001950026
1.492009997,2.085939884
3.140160084,2.09375
1.56467998,2.019530058
2.592299938,1.941409945
2.976510048,1.78026998
2.2917099,1.706050038
2.405040026,1.62401998
2.847680092,1.573240042
3.168519974,1.550780058
1.746790051,1.548830032
3.134310007,1.600589991
1.993389964,1.748049974
1.626039982,1.823240042
2.10033989,1.965819955
1.666360021,2.041019917
1.63617003,2.15625
2.507780075,2.3740201
2.155600071,2.481450081
1.83810997,2.454099894
1.936779976,1.736330032
1.923679948,1.778319955
1.727779984,1.841799974
1.673490047,1.869140029
2.205909967,1.944339991
1.836069942,2.073240042
1.831920028,2.135740042
1.270110011,2.236330032
1.656679988,2.226560116
2.680819988,2.15625
1.89854002,2.075200081
1.371119976,1.916020036
3.016410112,1.839840055
2.655580044,1.772459984
1.936149955,1.731449962
2.232650042,1.710940003
1.790259957,1.753909945
2.998850107,1.87598002
1.687739968,1.93651998
2.108150005,2.053709984
1.752519965,2.138669968
2.676440001,2.328119993
2.780920029,2.496089935
1.708099961,2.4365201
2.319439888,2.204099894
2.259639978,1.756839991
2.067780018,1.8125
2.513799906,1.841799974
3.435750008,1.869140029
1.304990053,1.944339991
2.364500046,2.073240042
2.338020086,2.135740042
1.729859948,2.236330032
2.054929972,2.226560116
2.167969942,2.15625
1.440500021,2.075200081
3.082849979,1.916020036
1.672000051,1.839840055
1.708629966,1.772459984
1.958729982,1.731449962
2.590120077,1.710940003
2.562939882,1.728520036
2.074219942,1.753909945
1.702929974,1.87598002
2.126430035,1.93651998
0.912558973,2.053709984
1.844009995,1.8125
2.326910019,1.93848002
1.920779943,2.066410065
2.169780016,2.122070074
1.964630008,2.239259958
1.557279944,2.288089991
2.964349985,2.355469942
1.269469976,2.352540016
1.428590059,2.257810116
1.653489947,2.192379951
2.068449974,2.073240042
3.150990009,2.017580032
2.365580082,1.952149987
2.419610023,1.956050038
2.759609938,1.96875
2.561739922,1.962890029
2.682810068,2.049799919
1.526720047,2.226560116
2.152750015,-9999
1.517850041,-9999
2.31833005,-9999
1.424139977,-9999
1.456249952,-9999
2.130630016,-9999
1.867339969,2.3759799
0.666579008,1.962890029
1.918259978,2.049799919
2.106339931,2.226560116
2.767199993,-9999
1.134089947,-9999
