backs,ERA5
2.593359947,0.992187977
1.184010029,1.024410009
1.606160045,1.306640029
1.676049948,1.595700026
2.104000092,1.681640029
1.434380054,1.553709984
1.590950012,1.484380007
2.230999947,1.351559997
1.737100005,1.413089991
2.300640106,1.541990042
1.224529982,1.035159945
1.641119957,0.992187977
3.958470106,1.024410009
1.407050014,1.306640029
2.349669933,1.595700026
1.771229982,1.681640029
1.604419947,1.484380007
1.712790012,1.351559997
1.984660029,1.413089991
2.455569983,1.615229964
2.675250053,1.541990042
2.224900007,1.284180045
2.271939993,1.111330032
1.735880017,1.143550038
1.46281004,1.427729964
1.724249959,1.740229964
2.029289961,1.747069955
1.95077002,1.698240042
2.037859917,1.729490042
1.568390012,1.800780058
1.852910042,1.727540016
1.776990056,1.595700026
2.660680056,1.982419968
2.758209944,1.888669968
1.935349941,1.658200026
2.748670101,1.580080032
2.159430027,1.43848002
1.252200007,1.566409945
1.576629996,1.78026998
2.142810106,1.862300038
2.399399996,1.962890029
1.850919962,2.0302701
2.071190119,2.152339935
1.617329955,2.251950026
3.483020067,2.208980083
1.417919993,2.019530058
1.166730046,2.044919968
2.902529955,1.982419968
2.526079893,1.888669968
2.856479883,1.658200026
3.66444993,1.580080032
2.637989998,1.43848002
2.488059998,1.566409945
1.684139967,1.78026998
2.009710073,1.862300038
1.700839996,1.892580032
1.802520037,1.962890029
2.166090012,2.0302701
1.993350029,2.152339935
1.971439958,2.251950026
2.777349949,2.208980083
1.939630032,2.019530058
1.403949976,2.259769917
1.131379962,2.021480083
4.124479771,1.934569955
1.735569954,1.87598002
1.808109999,1.784180045
1.880669951,1.735350013
2.370409966,1.632809997
1.635489941,1.599609971
2.15309,1.612300038
2.221610069,1.695309997
1.840929985,1.766600013
1.978860021,1.924800038
2.010580063,1.998049974
1.366639972,2.110349894
1.636010051,2.211910009
1.571830034,2.167969942
1.622380018,1.796880007
2.123729944,1.760740042
1.480960011,2.584959984
1.933030009,2.38086009
1.971740007,2.228519917
2.291589975,1.963870049
2.294440031,1.849609971
1.836889982,1.722659945
2.093199968,1.617190003
1.976799965,1.527340055
2.023890018,1.473629951
2.33355999,1.446290016
1.929859996,1.539059997
2.267910004,1.638669968
1.999420047,1.819339991
1.165699959,1.90625
1.516589999,1.997069955
2.15534997,2.022459984
1.795600057,2.010740042
1.853279948,1.980469942
2.523590088,2.001950026
1.939370036,2.565429926
1.651149988,2.584959984
3.083669901,2.38086009
1.525939941,2.228519917
2.415260077,1.963870049
2.218719959,1.758790016
2.363280058,1.722659945
1.812469959,1.649410009
2.018929958,1.617190003
1.705139995,1.527340055
2.280200005,1.451169968
1.868350029,1.446290016
2.624850035,1.539059997
2.907799959,1.638669968
1.875800014,1.819339991
1.437569976,1.955080032
2.204380035,1.997069955
1.771710038,2.022459984
1.767799973,2.010740042
1.966349959,1.980469942
1.931470037,2.001950026
2.444000006,2.070310116
1.635810018,2.565429926
2.36548996,2.527339935
1.877050042,2.252929926
2.616149902,2.021480083
1.781870008,1.691409945
1.533239961,1.636719942
2.240430117,1.634770036
2.597189903,1.566409945
3.564310074,1.454100013
1.544270039,1.360350013
2.19749999,1.365229964
1.617830038,1.430660009
2.109950066,1.537109971
0.979654014,1.722659945
2.208620071,1.845700026
1.466400027,1.891600013
1.405400038,1.958979964
1.866899967,1.961910009
2.30182004,2.148439884
2.259540081,2.238280058
2.822040081,2.166990042
1.18374002,1.902340055
1.723760009,2.4052701
2.641599894,2.338870049
2.459249973,2.2509799
1.962159991,2.0322299
1.925979972,1.819339991
2.5385499,1.739259958
1.976330042,1.722659945
1.701570034,1.694339991
1.91110003,1.458979964
2.593760014,1.417969942
2.11067009,1.46875
1.398049951,1.541990042
2.316770077,1.661129951
2.002640009,1.845700026
2.206219912,1.891600013
2.230360031,1.961910009
2.45359993,2.148439884
1.880180001,2.238280058
2.079380035,1.902340055
1.687319994,2.4052701
3.118760109,2.459959984
1.839050055,2.338870049
3.577470064,2.140619993
2.562900066,1.819339991
2.413650036,1.739259958
2.194950104,1.722659945
2.186939955,1.581050038
2.558379889,1.458979964
2.829639912,1.417969942
2.518620014,1.46875
1.633769989,1.541990042
2.096430063,1.661129951
2.091279984,1.773440003
1.346979976,1.902340055
1.959779978,1.983399987
3.045870066,2.163089991
3.52651,2.1552701
2.078299999,2.086910009
1.773970008,1.989259958
1.610350013,1.971680045
1.318510056,2.30663991
2.281409979,2.327150106
2.585989952,2.03711009
2.862610102,1.894530058
2.222700119,1.832030058
2.102349997,1.806640029
1.719460011,1.690430045
2.245029926,1.541990042
2.794559956,1.461910009
3.513489962,1.540040016
2.010139942,1.645509958
2.4296,1.793949962
2.70175004,1.880859971
2.556349993,2.064450026
2.010210037,2.0634799
1.63943994,2.101560116
1.805029988,2.1884799
1.743460059,2.21288991
2.422369957,2.15038991
1.619570017,2.180660009
1.782009959,2.178709984
2.216069937,2.113280058
1.817010045,1.953119993
2.816129923,1.926759958
3.38045001,1.887699962
2.075979948,1.752930045
2.216259956,1.690430045
2.396229982,1.541990042
3.143670082,1.461910009
2.136620045,1.475589991
3.550080061,1.490229964
2.116669893,1.540040016
3.399260044,1.605469942
1.919970036,1.645509958
2.015650034,1.793949962
1.650500059,1.880859971
1.61540997,2.064450026
1.448130012,2.0634799
1.528810024,2.101560116
1.958950043,2.1884799
2.459259987,2.21288991
2.521019936,2.028320074
1.76267004,2.074219942
2.826030016,2.15038991
1.232750058,2.178709984
3.41418004,2.113280058
2.081749916,2.052730083
1.842319965,1.953119993
2.773819923,1.926759958
2.379070044,1.887699962
2.190670013,1.817379951
1.912330031,1.74901998
2.194449902,1.605469942
2.145590067,1.53223002
2.414279938,1.463870049
2.371449947,1.463870049
4.533969879,1.483399987
2.185489893,1.527340055
2.151890039,1.584959984
2.432529926,1.732419968
1.652870059,1.817379951
1.93276,1.971680045
2.091929913,2.047849894
2.410099983,2.174799919
1.206060052,2.266599894
1.567010045,2.28125
1.721210003,1.953119993
1.511270046,1.976559997
2.386569977,2.00586009
2.066869974,2.010740042
4.051809788,1.984380007
1.779039979,1.983399987
1.679479957,1.988280058
1.858420014,1.976559997
2.65512991,1.878909945
4.597249985,1.819339991
2.071290016,1.677729964
2.38499999,1.622069955
2.60690999,1.533200026
3.032310009,1.523440003
1.952059984,1.505859971
2.314470053,1.520509958
2.224709988,1.595700026
2.652729988,1.75098002
2.06276989,1.831050038
1.724670053,1.990229964
1.737349987,2.070310116
1.803030014,2.199219942
2.091880083,2.331049919
2.013999939,2.399410009
1.991299987,1.784180045
1.404889941,1.809569955
1.449939966,1.849609971
2.268899918,1.849609971
3.029880047,1.875
2.307149887,1.965819955
2.186990023,1.983399987
1.623029947,1.982419968
2.275160074,1.976559997
2.283780098,1.878909945
2.851210117,1.819339991
1.531679988,1.677729964
2.384419918,1.622069955
2.564990044,1.533200026
1.832520008,1.523440003
1.698840022,1.505859971
2.640949965,1.520509958
5.455709934,1.595700026
1.576910019,1.75098002
2.245970011,1.831050038
2.978250027,1.990229964
2.203439951,2.070310116
1.768100023,2.199219942
1.420979977,2.331049919
1.719879985,2.399410009
1.923079967,1.784180045
2.270040035,1.809569955
2.199330091,1.849609971
4.209000111,1.849609971
1.40515995,1.875
2.218800068,1.901370049
1.482969999,2.001950026
1.539579988,2.085939884
2.714560032,2.09375
2.022919893,2.019530058
2.334800005,1.941409945
3.639580011,1.78026998
2.4630301,1.706050038
