MEAN,MEDIAN,PCT90,ERA5
3.042399265,2.83654809,4.319676256,1.819339991
2.953957112,2.72680068,4.222567368,2.074219942
2.906431715,2.903017521,4.091385937,2.15625
2.744421216,2.515248775,4.069108963,2.238280058
2.768146553,2.536100626,4.01644659,1.710940003
2.725755978,2.522695661,4.010821104,2.226560116
2.676533873,2.475996256,3.88681376,1.731449962
2.698124168,2.521983147,3.837103128,2.028320074
2.746528861,2.638761759,3.760892916,2.459959984
2.612435287,2.524989843,3.698801517,2.30663991
2.590010272,2.402213335,3.672875166,1.953119993
2.606258474,2.389615297,3.666145086,1.952149987
2.63290171,2.447637081,3.614321947,2.338870049
2.621063856,2.477456331,3.573169708,2.15038991
2.663961102,2.553639531,3.548206091,2.140619993
2.707469551,2.585609674,3.540290117,2.38086009
2.608646228,2.498521924,3.53660059,2.338870049
2.481296002,2.267710686,3.522610712,2.15038991
2.799201049,2.742170334,3.512237787,1.461910009
2.352064164,2.161252022,3.511833906,1.024410009
2.661959982,2.576310396,3.501464319,1.533200026
2.514817924,2.342152715,3.498632669,1.595700026
2.558033299,2.360401154,3.470290732,1.841799974
2.529151123,2.368173838,3.464137793,1.962890029
2.564795233,2.426613092,3.436957502,1.541990042
2.58939771,2.468677521,3.430906773,2.2509799
2.493883202,2.342816353,3.408785677,1.681640029
2.63104465,2.513097644,3.402831554,1.694339991
2.573026018,2.469812632,3.402378082,2.1552701
2.521779257,2.382891178,3.396076536,1.984380007
2.450073443,2.29415679,3.389001012,1.875
2.3471267,2.17538178,3.375416994,2.238280058
2.296402812,2.14842093,3.363438439,1.819339991
2.479704161,2.320650816,3.361638927,1.753909945
2.499971447,2.425238609,3.358300304,2.226560116
2.574431818,2.466035843,3.34169507,2.163089991
2.345061482,2.16378665,3.33945775,1.446290016
2.538542796,2.432751894,3.32580862,2.527339935
2.311655941,2.177021265,3.324816942,1.819339991
2.496077776,2.395119429,3.313386822,1.728520036
2.406342003,2.23472929,3.309915781,1.740229964
2.357742582,2.25951314,3.306797957,1.956050038
2.55699118,2.447545528,3.306214046,1.550780058
2.498870285,2.399258852,3.295325112,1.772459984
2.58089882,2.513166904,3.278874636,1.475589991
2.594877588,2.522274613,3.278261662,1.533200026
2.465753507,2.383294106,3.273867846,2.03711009
2.50089152,2.414692163,3.260706902,1.605469942
2.440994051,2.328327179,3.249202251,1.540040016
2.542255019,2.449134111,3.248786211,1.573240042
2.620351494,2.555061579,3.230241299,1.461910009
2.47503509,2.382319212,3.229387236,2.049799919
2.304853606,2.12558651,3.22782557,2.00586009
2.512641272,2.403191328,3.226453304,1.983399987
2.440435013,2.394794941,3.224889421,1.46875
2.639427666,2.595474243,3.221804166,1.53223002
2.362881207,2.197494268,3.218549728,1.869140029
2.492856579,2.413691998,3.217739868,1.962890029
2.329983065,2.239224792,3.215104675,2.070310116
2.066653213,1.987343192,3.204749012,2.166990042
2.366004735,2.27508688,3.20416584,1.880859971
2.395602935,2.274571896,3.201824188,1.962890029
2.568727345,2.483068705,3.198895216,1.722659945
2.451453661,2.32963109,3.197320461,1.869140029
2.420628019,2.316537619,3.191805124,1.605469942
2.444146572,2.355216026,3.18695128,1.483399987
2.383646004,2.263773084,3.183208966,2.017580032
2.465600258,2.340538979,3.181093216,1.832030058
2.570394761,2.502635479,3.174441814,1.463870049
2.440281773,2.352876425,3.171247721,1.819339991
2.207404347,1.981068134,3.164117336,1.849609971
2.318316771,2.201979637,3.162910223,2.113280058
2.347833639,2.257985592,3.15670681,1.845700026
2.507101658,2.452933073,3.154171944,1.454100013
2.350837273,2.202522993,3.129827261,2.066410065
2.348736114,2.241032004,3.129804373,1.875
2.26700668,2.097611666,3.129014587,1.306640029
2.354816646,2.219189882,3.127970791,2.052730083
2.50556537,2.447866559,3.124264455,1.458979964
2.500666812,2.429011822,3.12220211,1.878909945
2.253215979,2.112577915,3.120541286,1.892580032
2.446348859,2.356003046,3.119823647,1.540040016
2.40140483,2.30975914,3.116012096,2.399410009
2.403879092,2.311877966,3.113614082,1.753909945
2.286879569,2.157464504,3.111955881,1.888669968
2.330509551,2.19547832,3.11186676,1.841799974
2.517552008,2.474996805,3.109962821,1.463870049
2.437770818,2.393819809,3.109129667,1.62401998
2.411160191,2.334801674,3.096564198,2.226560116
2.343041408,2.262998104,3.093799877,1.523440003
2.453604411,2.393285275,3.093240213,1.490229964
2.427239331,2.368786097,3.082579756,1.541990042
