"","X","ID_clean","ID_preclean","Triangle","Corner","TriangleCorner","date","SnowDepth","SnowDepth_Noplus","temperature","x_4326","y_4326","x_3006","y_3006","MiddleTime","mask.tif","angle.tif","VH.tif","VV.tif","point_VH","point_VV","points_angle"
"4",3,286,299,"AC-42","C","AC-42C","2017-02-21","110",110,"-5",15.68504701,65.89042994,531224.7772,7307867.528,"10:50:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/56_2017-02-21_clip/S1B__IW___A_20170221T163813_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/56_2017-02-21_clip/S1B__IW___A_20170221T163813_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/56_2017-02-21_clip/S1B__IW___A_20170221T163813_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/56_2017-02-21_clip/S1B__IW___A_20170221T163813_VV_gamma0-rtc.tif","0.021","0.093","46.351"
"7",6,3,4,"AC-31","A","AC-31A","2017-02-26","20",20,"-8",15.59576559,65.98449828,527055.8412,7318310.67,"13:52:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.013","0.088","44.248"
"8",7,289,302,"AC-31","C","AC-31C","2017-02-26","65",65,"-8",15.68346284,65.98772306,531034.4515,7318710.707,"13:52:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.017","0.103","43.178"
"9",8,143,151,"AC-38","B","AC-38B","2017-02-26","75",75,"-10",16.06601119,65.92904529,548515.1091,7312413.359,"08:55:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.012","0.08","35.335"
"10",9,287,300,"AC-38","C","AC-38C","2017-02-26","75",75,"-10",16.11606048,65.89957289,550851.1264,7309168.337,"08:55:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.014","0.108","32.779"
"11",10,1,2,"AC-38","A","AC-38A","2017-02-26","50",50,"-10",16.02861195,65.89659453,546872.4418,7308768.327,"08:55:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.013","0.084","39.565"
"12",11,145,153,"AC-31","B","AC-31B","2017-02-26","60",60,"-8",15.63274264,66.01705338,528698.4479,7321955.65,"13:52:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.01","0.071","38.618"
"13",12,144,152,"AC-37","B","AC-37B","2017-02-26","70",70,"-8",15.93669383,65.93795328,542615.3144,7313312.254,"11:27:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.017","0.09","39.774"
"14",13,2,3,"AC-37","A","AC-37A","2017-02-26","45",45,"-8",15.84881121,65.9380027,538617.1852,7313260.876,"11:27:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.007","0.053","41.352"
"15",14,288,301,"AC-37","C","AC-37C","2017-02-26","20",20,"-8",15.89264784,65.90691896,540660.7363,7309824.185,"11:27:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/54_2017-02-26_clip/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.014","0.087","39.841"
